I_true,c1,c2,m,n
7.9445321429e-13,31058,18231,31245,31255
7.9445321429e-13,30714,33141,31260,31240
7.9445321429e-13,31211,24377,31251,31249
1.8065835714e-12,31011,17599,31244,31256
1.8065835714e-12,30303,34380,31261,31239
1.8065835714e-12,30981,24963,31251,31249
4.7878117857e-12,30891,22586,31247,31253
4.7878117857e-12,30353,38396,31263,31237
4.7878117857e-12,31084,13694,31238,31262
9.8004032143e-12,30481,34689,31256,31244
9.8004032143e-12,30844,15592,31237,31263
9.8004032143e-12,30727,33902,31255,31245
1.9831710714e-11,30407,29739,31245,31255
1.9831710714e-11,30702,36147,31251,31249
1.9831710714e-11,31102,31409,31246,31254
4.9792885714e-11,30621,27743,31224,31276
4.9792885714e-11,30616,33867,31230,31270
4.9792885714e-11,31170,23176,31219,31281
9.9799282143e-11,30514,40381,31205,31295
9.9799282143e-11,30950,19257,31184,31316
9.9799282143e-11,30432,40137,31205,31295
1.9982378571e-10,30631,52422,31154,31346
1.9982378571e-10,30910,20142,31122,31378
1.9982378571e-10,30366,40952,31143,31357
4.9987242857e-10,31038,29798,30943,31557
4.9987242857e-10,30925,29619,30943,31557
4.9987242857e-10,31232,26843,30940,31560
9.9988000000e-10,30989,35134,3067,3183
9.9988000000e-10,30425,26302,3059,3191
9.9988000000e-10,30711,22442,3055,3195
1.9983211111e-09,31084,48192,3017,3233
1.9983211111e-09,30604,17907,2988,3262
1.9983211111e-09,30506,13815,2984,3266
4.9986000000e-09,31016,46427,2827,3423
4.9986000000e-09,30485,16398,2798,3452
4.9986000000e-09,30716,10563,2792,3458
-1.0173089286e-11,30314,46179,31280,31220
-1.0173089286e-11,31130,30524,31264,31236
-1.0173089286e-11,31074,39671,31273,31227
-1.0017946429e-10,30886,26707,31317,31183
-1.0017946429e-10,30187,35269,31326,31174
-1.0017946429e-10,31034,42119,31332,31168
-1.0002200000e-09,30738,23885,3182,3068
-1.0002200000e-09,30828,39468,3197,3053
-1.0002200000e-09,31153,41816,3199,3051
-2.0022788889e-09,30451,22439,3244,3006
-2.0022788889e-09,30925,42563,3263,2987
-2.0022788889e-09,30947,38403,3259,2991
