point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
0.001,1,2,10000,0.0,0.0,31245,31255,31058,18231,31058,18231,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31245 n=31255 INT1=31058 INT2=18231 EXT1=31058 EXT2=18231,0.0007944532142857143,0.0
0.001,2,2,10000,0.0,0.0,31260,31240,30714,33141,30714,33141,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31260 n=31240 INT1=30714 INT2=33141 EXT1=30714 EXT2=33141,0.0007944532142857143,0.0
0.001,3,2,10000,0.0,0.0,31251,31249,31211,24377,31211,24377,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31251 n=31249 INT1=31211 INT2=24377 EXT1=31211 EXT2=24377,0.0007944532142857143,0.0
0.002,1,2,10000,0.0,0.0,31244,31256,31011,17599,31011,17599,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31244 n=31256 INT1=31011 INT2=17599 EXT1=31011 EXT2=17599,0.0018065835714285714,0.0
0.002,2,2,10000,0.0,0.0,31261,31239,30303,34380,30303,34380,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31261 n=31239 INT1=30303 INT2=34380 EXT1=30303 EXT2=34380,0.0018065835714285714,0.0
0.002,3,2,10000,0.0,0.0,31251,31249,30981,24963,30981,24963,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31251 n=31249 INT1=30981 INT2=24963 EXT1=30981 EXT2=24963,0.0018065835714285714,0.0
0.005,1,2,10000,0.003,0.003,31247,31253,30891,22586,30891,22586,I=+0.003 nA X=+0.003 nA MODE=2 T=10000ms RAW m=31247 n=31253 INT1=30891 INT2=22586 EXT1=30891 EXT2=22586,0.0047878117857142865,0.0030000000000000005
0.005,2,2,10000,0.002,0.002,31263,31237,30353,38396,30353,38396,I=+0.002 nA X=+0.002 nA MODE=2 T=10000ms RAW m=31263 n=31237 INT1=30353 INT2=38396 EXT1=30353 EXT2=38396,0.0047878117857142865,0.0030000000000000005
0.005,3,2,10000,0.004,0.004,31238,31262,31084,13694,31084,13694,I=+0.004 nA X=+0.004 nA MODE=2 T=10000ms RAW m=31238 n=31262 INT1=31084 INT2=13694 EXT1=31084 EXT2=13694,0.0047878117857142865,0.0030000000000000005
0.01,1,2,10000,0.008,0.008,31256,31244,30481,34689,30481,34689,I=+0.008 nA X=+0.008 nA MODE=2 T=10000ms RAW m=31256 n=31244 INT1=30481 INT2=34689 EXT1=30481 EXT2=34689,0.009800403214285713,0.008333333333333333
