I_true,c1,c2,m,n
4.4997827273e-08,30617,58168,325,5925
4.4997827273e-08,30759,58198,325,5925
4.4997827273e-08,30768,58223,325,5925
3.9998750000e-08,30767,7035,589,5661
3.9998750000e-08,30743,7071,589,5661
3.9998750000e-08,30756,7064,589,5661
3.4997636364e-08,30698,54533,950,5300
3.4997636364e-08,30529,49340,945,5305
3.4997636364e-08,30734,48387,944,5306
2.9998150000e-08,30615,14566,1225,5025
2.9998150000e-08,30480,14472,1225,5025
2.9998150000e-08,30706,14734,1225,5025
2.4998290000e-08,30674,6088,1531,4719
2.4998290000e-08,30627,15252,1540,4710
2.4998290000e-08,30739,3117,1528,4722
1.9996350000e-08,30464,41465,1880,4370
1.9996350000e-08,30694,40628,1879,4371
1.9996350000e-08,30689,41749,1880,4370
1.4995860000e-08,30608,40294,2193,4057
1.4995860000e-08,30636,40334,2193,4057
1.4995860000e-08,30367,41114,2194,4056
9.9983111111e-09,31249,45993,2512,3738
9.9983111111e-09,30558,2409,2470,3780
9.9983111111e-09,30585,8460,2476,3774
4.9986625000e-09,31156,49738,2830,3420
4.9986625000e-09,30395,17531,2799,3451
4.9986625000e-09,30413,16325,2798,3452
-1.5747542857e-13,30569,41507,31269,31231
-1.5747542857e-13,30937,16431,31244,31256
-1.5747542857e-13,30319,52602,31280,31220
-5.0028462500e-09,30482,14972,3425,2825
-5.0028462500e-09,30997,44914,3454,2796
-5.0028462500e-09,31228,41067,3450,2800
-1.0002533333e-08,30422,13531,3738,2512
-1.0002533333e-08,30872,54980,3778,2472
-1.0002533333e-08,30783,54957,3778,2472
-1.5006070000e-08,30981,18919,4057,2193
-1.5006070000e-08,30984,19838,4058,2192
-1.5006070000e-08,31032,18942,4057,2193
-2.0007316667e-08,30822,18534,4371,1879
-2.0007316667e-08,30821,18467,4371,1879
-2.0007316667e-08,30849,19493,4372,1878
-2.5007910000e-08,30464,25850,4693,1557
-2.5007910000e-08,30929,47893,4714,1536
-2.5007910000e-08,30921,37831,4704,1546
-3.0008975000e-08,30900,45561,5026,1224
-3.0008975000e-08,30863,44390,5025,1225
-3.0008975000e-08,30965,45498,5026,1224
-3.5009045455e-08,30923,20968,5316,934
-3.5009045455e-08,30794,20766,5316,934
-3.5009045455e-08,30898,21001,5316,934
-4.0009033333e-08,30832,52245,5661,589
-4.0009033333e-08,30872,52213,5661,589
-4.0009033333e-08,30873,52115,5661,589
-4.5009409091e-08,30835,19298,5943,307
-4.5009409091e-08,30856,16506,5940,310
-4.5009409091e-08,30790,18319,5942,308
