point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
45,1,1,1000,45.45,45.45,325,5925,30617,58168,30617,58168,I=+45.450 nA X=+45.450 nA MODE=1 T=1000ms RAW m=325 n=5925 INT1=30617 INT2=58168 EXT1=30617 EXT2=58168,44.99782727272728,45.44866666666667
45,2,1,1000,45.448,45.448,325,5925,30759,58198,30759,58198,I=+45.448 nA X=+45.448 nA MODE=1 T=1000ms RAW m=325 n=5925 INT1=30759 INT2=58198 EXT1=30759 EXT2=58198,44.99782727272728,45.44866666666667
45,3,1,1000,45.448,45.448,325,5925,30768,58223,30768,58223,I=+45.448 nA X=+45.448 nA MODE=1 T=1000ms RAW m=325 n=5925 INT1=30768 INT2=58223 EXT1=30768 EXT2=58223,44.99782727272728,45.44866666666667
40,1,1,1000,40.422,40.422,589,5661,30767,7035,30767,7035,I=+40.422 nA X=+40.422 nA MODE=1 T=1000ms RAW m=589 n=5661 INT1=30767 INT2=7035 EXT1=30767 EXT2=7035,39.99875,40.422666666666665
40,2,1,1000,40.423,40.423,589,5661,30743,7071,30743,7071,I=+40.423 nA X=+40.423 nA MODE=1 T=1000ms RAW m=589 n=5661 INT1=30743 INT2=7071 EXT1=30743 EXT2=7071,39.99875,40.422666666666665
40,3,1,1000,40.423,40.423,589,5661,30756,7064,30756,7064,I=+40.423 nA X=+40.423 nA MODE=1 T=1000ms RAW m=589 n=5661 INT1=30756 INT2=7064 EXT1=30756 EXT2=7064,39.99875,40.422666666666665
35,1,1,1000,35.344,35.344,950,5300,30698,54533,30698,54533,I=+35.344 nA X=+35.344 nA MODE=1 T=1000ms RAW m=950 n=5300 INT1=30698 INT2=54533 EXT1=30698 EXT2=54533,34.99763636363636,35.346
35,2,1,1000,35.348,35.348,945,5305,30529,49340,30529,49340,I=+35.348 nA X=+35.348 nA MODE=1 T=1000ms RAW m=945 n=5305 INT1=30529 INT2=49340 EXT1=30529 EXT2=49340,34.99763636363636,35.346
35,3,1,1000,35.346,35.346,944,5306,30734,48387,30734,48387,I=+35.346 nA X=+35.346 nA MODE=1 T=1000ms RAW m=944 n=5306 INT1=30734 INT2=48387 EXT1=30734 EXT2=48387,34.99763636363636,35.346
30,1,1,1000,30.314,30.314,1225,5025,30615,14566,30615,14566,I=+30.314 nA X=+30.314 nA MODE=1 T=1000ms RAW m=1225 n=5025 INT1=30615 INT2=14566 EXT1=30615 EXT2=14566,29.998149999999995,30.314666666666668
30,2,1,1000,30.315,30.315,1225,5025,30480,14472,30480,14472,I=+30.315 nA X=+30.315 nA MODE=1 T=1000ms RAW m=1225 n=5025 INT1=30480 INT2=14472 EXT1=30480 EXT2=14472,29.998149999999995,30.314666666666668
30,3,1,1000,30.315,30.315,1225,5025,30706,14734,30706,14734,I=+30.315 nA X=+30.315 nA MODE=1 T=1000ms RAW m=1225 n=5025 INT1=30706 INT2=14734 EXT1=30706 EXT2=14734,29.998149999999995,30.314666666666668
25,1,1,1000,25.264,25.264,1531,4719,30674,6088,30674,6088,I=+25.264 nA X=+25.264 nA MODE=1 T=1000ms RAW m=1531 n=4719 INT1=30674 INT2=6088 EXT1=30674 EXT2=6088,24.99829,25.263333333333332
