idx,set_nA,std_nA,m1,m2,m3,im_nA,s_pA,cal_nA,delta_pA,delta_pct,source
1,5.0,4.9986625,5.038,5.056,5.054,5.049333333333333,9.865765724632428,4.998580766385364,-0.08173361463637008,-0.0016351096845680234,**cal_sweep(样本内)**
2,6.0,5.9987587499999995,6.056,6.058,6.058,6.057333333333333,1.1547005383791242,5.997427039741339,-1.3317102586603013,-0.022199763553756875,sweep_broad
3,7.0,6.998564444444445,7.063,7.064,7.064,7.063666666666666,0.5773502691898186,6.998282110615343,-0.28233382910158866,-0.004034167740295785,sweep_broad
4,8.0,7.998556249999999,8.063,8.062,8.061,8.062,1.000000000000334,7.995034126877203,-3.5221231227957617,-0.044034485883571325,sweep_broad
5,9.0,8.99843,9.087,9.088,9.086,9.087,0.9999999999994458,8.995716472186873,-2.7135278131282803,-0.030155569506328108,sweep_broad
6,10.0,9.99832375,10.092,10.108,10.109,10.103,9.53939201416929,9.997155450522209,-1.1682994777917344,-0.011684953468242457,sweep_broad
7,12.5,12.496225,12.605,12.607,12.606,12.606,0.9999999999994458,12.49307357039673,-3.151429603271083,-0.025219052980168674,sweep_broad
8,15.0,14.996450000000001,15.144,15.144,15.144,15.144,0.0,14.996226290544781,-0.2237094552199892,-0.0014917494154949283,sweep_broad
9,17.5,17.496333333333332,17.671,17.671,17.673,17.671666666666667,1.1547005383786115,17.4952730730846,-1.060260248731737,-0.0060598996860203305,sweep_broad
10,20.0,19.99651,20.196,20.195,20.194,20.195,1.0000000000012221,19.9954415066162,-1.0684933838014388,-0.005343399342192406,sweep_broad
11,22.5,22.496233333333333,22.716,22.716,22.715,22.715666666666667,0.5773502691903314,22.495638245957014,-0.595087376318304,-0.0026452756223707256,sweep_broad
12,25.0,24.99785,25.262,25.26,25.263,25.261666666666667,1.5275252316518753,24.996102934574804,-1.7470654251958706,-0.00698886274297938,sweep_broad
13,27.5,27.497925,27.777,27.775,27.778,27.776666666666667,1.527525231652263,27.49786316888707,-0.06183111293012189,-0.00022485737716617486,sweep_broad
14,30.0,29.997739999999997,30.313,30.313,30.313,30.313,0.0,29.997004080558895,-0.735919441101629,-0.0024532496151431042,sweep_broad
15,32.5,32.497366666666665,32.832,32.834,32.833,32.833,1.0000000000012221,32.49488764760083,-2.4790190658379174,-0.007628369065302474,sweep_broad
16,35.0,34.99748181818182,35.346,35.346,35.343,35.345,1.7320508075648406,34.99560305950581,-1.878758676006953,-0.005368268167885451,sweep_broad
17,37.5,37.49934166666666,37.877,37.876,37.876,37.87633333333333,0.5773502691923826,37.49750303959066,-1.8386270759975787,-0.004903091612490741,sweep_broad
18,40.0,39.99838,40.424,40.422,40.424,40.42333333333333,1.1547005383806628,40.00009607767162,1.7160776716238502,0.004290367938961153,sweep_broad
19,45.0,44.99782727272728,45.45,45.448,45.448,45.44866666666667,1.1547005383806628,44.999089549532265,1.262276804986584,0.002805195009385791,**cal_sweep(样本内)**
