set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
5.0,1,4.998654999999999,5.039,5.039,2831,3419,31180,50899,31180,50899,1000,1,2023,59478,30607.8,0,1e-08,921600,always,3281,1003,1190,146,w_p0005_0000_r1.npz,I=+5.039 nA X=+5.039 nA MODE=1 T=1000ms RAW m=2831 n=3419 INT1=31180 INT2=50899 EXT1=31180 EXT2=50899
5.0,2,4.9987200000000005,5.057,5.057,2798,3452,30363,16518,30363,16518,1000,1,2095,59535,31032.8,0,1e-08,921600,always,3281,1003,1219,146,w_p0005_0000_r2.npz,I=+5.057 nA X=+5.057 nA MODE=1 T=1000ms RAW m=2798 n=3452 INT1=30363 INT2=16518 EXT1=30363 EXT2=16518
5.0,3,4.998756666666667,5.059,5.059,2796,3454,30354,14507,30354,14507,1000,1,2100,59519,31025.3,0,1e-08,921600,always,3281,1003,1179,10989,w_p0005_0000_r3.npz,I=+5.059 nA X=+5.059 nA MODE=1 T=1000ms RAW m=2796 n=3454 INT1=30354 INT2=14507 EXT1=30354 EXT2=14507
5.5,1,5.49871,5.549,5.549,2787,3463,31143,37969,31143,37969,1000,1,2240,59595,30640.4,0,1e-08,921600,always,3500,1019,1186,147,w_p0005_5000_r1.npz,I=+5.549 nA X=+5.549 nA MODE=1 T=1000ms RAW m=2787 n=3463 INT1=31143 INT2=37969 EXT1=31143 EXT2=37969
5.5,2,5.49877,5.557,5.557,2775,3475,30496,25158,30496,25158,1000,1,2238,59567,31140.9,0,1e-08,921600,always,3500,1019,1178,146,w_p0005_5000_r2.npz,I=+5.557 nA X=+5.557 nA MODE=1 T=1000ms RAW m=2775 n=3475 INT1=30496 INT2=25158 EXT1=30496 EXT2=25158
5.5,3,5.498676666666666,5.557,5.557,2776,3474,30427,26149,30427,26149,1000,1,2204,59586,31170.0,0,1e-08,921600,always,3500,1019,1188,146,w_p0005_5000_r3.npz,I=+5.557 nA X=+5.557 nA MODE=1 T=1000ms RAW m=2776 n=3474 INT1=30427 INT2=26149 EXT1=30427 EXT2=26149
6.0,1,5.9988366666666675,6.058,6.058,2750,3500,31396,32539,31396,32539,1000,1,2083,59537,30588.6,0,1e-08,921600,always,3500,1019,1178,10835,w_p0006_0000_r1.npz,I=+6.058 nA X=+6.058 nA MODE=1 T=1000ms RAW m=2750 n=3500 INT1=31396 INT2=32539 EXT1=31396 EXT2=32539
6.0,2,5.9988150000000005,6.063,6.063,2745,3505,30533,26735,30533,26735,1000,1,2121,59506,31079.0,0,1e-08,921600,always,3500,1019,1186,147,w_p0006_0000_r2.npz,I=+6.063 nA X=+6.063 nA MODE=1 T=1000ms RAW m=2745 n=3505 INT1=30533 INT2=26735 EXT1=30533 EXT2=26735
6.0,3,5.998740000000001,6.061,6.061,2745,3505,30522,26597,30522,26597,1000,1,2053,59612,31079.7,0,1e-08,921600,always,3500,1019,1179,146,w_p0006_0000_r3.npz,I=+6.061 nA X=+6.061 nA MODE=1 T=1000ms RAW m=2745 n=3505 INT1=30522 INT2=26597 EXT1=30522 EXT2=26597
6.5,1,6.498656666666667,6.562,6.562,2719,3531,30694,32252,30694,32252,1000,1,2155,59527,31117.5,0,1e-08,921600,always,3502,1020,1179,146,w_p0006_5000_r1.npz,I=+6.562 nA X=+6.562 nA MODE=1 T=1000ms RAW m=2719 n=3531 INT1=30694 INT2=32252 EXT1=30694 EXT2=32252
