序号,设定I_s/nA,回读I_std/nA,I_m1/nA,I_m2/nA,I_m3/nA,平均I_m/nA,s/nA,Delta/nA,delta/%,u_c/nA,Delta/u_c
1,5.000000,4.998711,4.999213,5.000850,5.001451,5.000504,0.001158,0.001794,0.035885,0.005446,0.329354
2,-5.000000,-5.002651,-5.003203,-5.002324,-5.005148,-5.003558,0.001445,-0.000907,0.018134,0.005472,-0.165787
3,5.500000,5.498719,5.498268,5.499505,5.500124,5.499299,0.000945,0.000580,0.010550,0.005796,0.100096
4,-5.500000,-5.502498,-5.503727,-5.504098,-5.504071,-5.503965,0.000207,-0.001467,0.026654,0.005774,-0.254002
5,6.000000,5.998797,5.998386,6.000887,5.998907,5.999393,0.001320,0.000596,0.009937,0.006183,0.096402
6,-6.000000,-6.002622,-6.003276,-6.003875,-6.003375,-6.003509,0.000321,-0.000887,0.014769,0.006142,-0.144341
7,6.500000,6.498700,6.498136,6.499660,6.498221,6.498672,0.000856,-0.000028,-0.000432,0.006522,-0.004301
8,-6.500000,-6.502623,-6.503567,-6.504549,-6.503582,-6.503899,0.000563,-0.001276,0.019625,0.006514,-0.195895
9,7.000000,6.998598,6.998638,7.000222,7.000471,6.999777,0.000994,0.001179,0.016846,0.006895,0.170993
10,-7.000000,-7.002352,-7.002036,-7.004137,-7.003812,-7.003328,0.001131,-0.000976,0.013941,0.006905,-0.141375
11,7.500000,7.498594,7.496927,7.498125,7.497831,7.497628,0.000624,-0.000967,-0.012892,0.007249,-0.133365
12,-7.500000,-7.502469,-7.503460,-7.503583,-7.504169,-7.503737,0.000379,-0.001268,0.016903,0.007246,-0.175018
13,8.000000,7.998494,7.995929,7.995862,7.999052,7.996948,0.001823,-0.001546,-0.019334,0.007681,-0.201322
14,-8.000000,-8.002569,-8.002110,-8.003202,-8.003865,-8.003059,0.000886,-0.000490,0.006127,0.007629,-0.064269
15,8.500000,8.498597,8.496109,8.495941,8.497187,8.496412,0.000676,-0.002184,-0.025703,0.007988,-0.273443
16,-8.500000,-8.502393,-8.499899,-8.502669,-8.499344,-8.500637,0.001781,0.001756,-0.020648,0.008048,0.218141
17,9.000000,8.998417,8.995222,8.997605,8.996077,8.996301,0.001207,-0.002116,-0.023516,0.008378,-0.252572
18,-9.000000,-9.002366,-8.999802,-9.001567,-9.000430,-9.000600,0.000895,0.001766,-0.019613,0.008368,0.211003
19,9.500000,9.498477,9.500478,9.496458,9.495881,9.497606,0.002504,-0.000871,-0.009170,0.008839,-0.098538
20,-9.500000,-9.502356,-9.504741,-9.501808,-9.502748,-9.503099,0.001497,-0.000744,0.007826,0.008765,-0.084843
21,10.000000,9.998273,9.998580,9.997743,9.997017,9.997780,0.000782,-0.000494,-0.004936,0.009102,-0.054220
22,-10.000000,-10.002400,-10.003645,-10.002486,-10.001301,-10.002477,0.001172,-0.000077,0.000774,0.023047,-0.003361
23,10.500000,10.495350,10.496821,10.495986,10.495385,10.496064,0.000721,0.000714,0.006804,0.023188,0.030796
24,-10.500000,-10.505467,-10.509288,-10.507786,-10.506078,-10.507718,0.001606,-0.002251,0.021426,0.023206,-0.096996
25,11.000000,10.995050,10.996102,10.996167,10.995021,10.995763,0.000643,0.000713,0.006488,0.023337,0.030567
26,-11.000000,-11.004933,-11.004778,-11.005673,-11.003726,-11.004726,0.000974,0.000208,-0.001886,0.023344,0.008890
27,11.500000,11.495983,11.496116,11.496447,11.495553,11.496039,0.000452,0.000055,0.000482,0.023486,0.002360
28,-11.500000,-11.506092,-11.506327,-11.506456,-11.506483,-11.506422,0.000083,-0.000330,0.002870,0.023487,-0.014061
29,12.000000,11.995508,11.995968,11.995297,11.995277,11.995514,0.000393,0.000006,0.000048,0.023635,0.000242
30,-12.000000,-12.005642,-12.003856,-12.005552,-12.005993,-12.005133,0.001128,0.000508,-0.004233,0.023646,0.021492
31,12.500000,12.496833,12.496181,12.495713,12.495367,12.495754,0.000408,-0.001080,-0.008640,0.023785,-0.045396
32,-12.500000,-12.505208,-12.506742,-12.507299,-12.506484,-12.506841,0.000417,-0.001633,0.013059,0.023788,-0.068649
33,13.000000,12.995967,12.994882,12.996060,12.994990,12.995311,0.000651,-0.000656,-0.005048,0.023937,-0.027405
34,-13.000000,-13.006658,-13.004843,-13.006148,-13.004239,-13.005077,0.000975,0.001582,-0.012162,0.023943,0.066064
35,13.500000,13.495183,13.496645,13.494295,13.496432,13.495790,0.001299,0.000607,0.004499,0.024095,0.025199
36,-13.500000,-13.505642,-13.509519,-13.505706,-13.503546,-13.506257,0.003025,-0.000616,0.004558,0.024149,-0.025490
37,-14.000000,-14.006817,-14.008448,-14.006871,-14.006021,-14.007113,0.001231,-0.000297,0.002118,0.024247,-0.012238
38,-14.500000,-14.506417,-14.503729,-14.507367,-14.506609,-14.505902,0.001919,0.000515,-0.003549,0.024411,0.021088
39,15.000000,14.996367,14.996396,14.997456,14.997145,14.996999,0.000545,0.000632,0.004216,0.024535,0.025772
40,-15.000000,-15.005592,-15.004393,-15.006432,-15.006526,-15.005784,0.001205,-0.000192,0.001280,0.024545,-0.007827
41,-15.500000,-15.507000,-15.505746,-15.507170,-15.508697,-15.507204,0.001476,-0.000204,0.001318,0.024701,-0.008272
42,16.000000,15.996908,15.995144,15.995058,15.995061,15.995088,0.000049,-0.001821,-0.011381,0.024833,-0.073315
43,-16.000000,-16.006183,-16.002694,-16.003958,-16.002836,-16.003163,0.000693,0.003021,-0.018872,0.024839,0.121615
44,16.500000,16.496258,16.498966,16.496637,16.493752,16.496452,0.002612,0.000193,0.001172,0.025028,0.007726
45,-16.500000,-16.507258,-16.508648,-16.504321,-16.504508,-16.505826,0.002446,0.001433,-0.008678,0.025025,0.057244
46,17.000000,16.995567,16.996496,16.993852,16.996534,16.995627,0.001538,0.000061,0.000357,0.025147,0.002413
47,-17.000000,-17.006758,-17.007610,-17.007811,-17.007699,-17.007707,0.000101,-0.000948,0.005576,0.025135,-0.037728
48,17.500000,17.496450,17.495206,17.498267,17.496469,17.496648,0.001538,0.000198,0.001130,0.025297,0.007812
49,-17.500000,-17.505767,-17.505553,-17.506075,-17.508145,-17.506591,0.001371,-0.000824,0.004707,0.025297,-0.032575
50,18.000000,17.995975,17.995803,17.997187,17.999297,17.997429,0.001759,0.001454,0.008081,0.025452,0.057135
51,-18.000000,-18.007342,-18.005824,-18.008979,-18.009509,-18.008104,0.001992,-0.000762,0.004233,0.025461,-0.029939
52,18.500000,18.497300,18.493885,18.494899,18.496107,18.494964,0.001112,-0.002336,-0.012630,0.025590,-0.091296
53,-18.500000,-18.506633,-18.504609,-18.504828,-18.507322,-18.505586,0.001507,0.001047,-0.005659,0.025599,0.040910
54,19.000000,18.996500,18.996734,18.993222,18.994170,18.994709,0.001817,-0.001791,-0.009431,0.025753,-0.069565
55,-19.000000,-19.007925,-19.009597,-19.008613,-19.010016,-19.009409,0.000721,-0.001484,0.007807,0.025738,-0.057654
56,19.500000,19.497625,19.496669,19.500759,19.499055,19.498827,0.002055,0.001202,0.006167,0.025909,0.046412
57,-19.500000,-19.507275,-19.506081,-19.507687,-19.508128,-19.507299,0.001078,-0.000024,0.000123,0.025892,-0.000925
58,20.000000,19.996908,19.997684,19.998199,19.999485,19.998456,0.000927,0.001548,0.007740,0.026037,0.059448
59,-20.000000,-20.006750,-20.006403,-20.006453,-20.007616,-20.006824,0.000686,-0.000074,0.000370,0.026037,-0.002846
60,20.500000,20.498042,20.496362,20.500148,20.498249,20.498253,0.001893,0.000211,0.001030,0.026204,0.008059
61,-20.500000,-20.507892,-20.506543,-20.509475,-20.509568,-20.508529,0.001720,-0.000637,0.003106,0.026203,-0.024311
62,21.000000,20.997125,20.994944,20.993817,20.995505,20.994755,0.000860,-0.002370,-0.011285,0.026335,-0.089978
63,-21.000000,-21.007367,-21.006389,-21.006805,-21.004705,-21.005967,0.001112,0.001400,-0.006665,0.026342,0.053154
64,21.500000,21.496511,21.494841,21.500050,21.495819,21.496903,0.002769,0.000392,0.001823,0.026529,0.014774
65,-21.500000,-21.508917,-21.510834,-21.511061,-21.512559,-21.511485,0.000937,-0.002568,0.011939,0.026490,-0.096938
66,22.000000,21.997361,21.995947,21.998362,21.997219,21.997176,0.001208,-0.000185,-0.000842,0.026640,-0.006956
67,-22.000000,-22.007967,-22.009033,-22.008395,-22.008942,-22.008790,0.000345,-0.000823,0.003742,0.026634,-0.030917
68,22.500000,22.496633,22.497839,22.498759,22.496123,22.497574,0.001338,0.000940,0.004180,0.026791,0.035102
69,-22.500000,-22.507125,-22.505259,-22.507365,-22.507146,-22.506590,0.001158,0.000535,-0.002376,0.026792,0.019964
70,23.000000,22.997733,22.994791,22.997601,22.997413,22.996602,0.001571,-0.001132,-0.004921,0.026946,-0.042002
