序号,设定I_s/nA,回读I_std/nA,I_m1/nA,I_m2/nA,I_m3/nA,平均I_m/nA,s/nA,Delta/nA,delta/%,u_c/nA,Delta/u_c
1,-5.000000,-5.002651,-5.003203,-5.002324,-5.005148,-5.003558,0.001445,-0.000907,0.018134,0.005472,-0.165787
2,-5.500000,-5.502498,-5.503727,-5.504098,-5.504071,-5.503965,0.000207,-0.001467,0.026654,0.005774,-0.254002
3,-6.000000,-6.002622,-6.003276,-6.003875,-6.003375,-6.003509,0.000321,-0.000887,0.014769,0.006142,-0.144341
4,-6.500000,-6.502623,-6.503567,-6.504549,-6.503582,-6.503899,0.000563,-0.001276,0.019625,0.006514,-0.195895
5,-7.000000,-7.002352,-7.002036,-7.004137,-7.003812,-7.003328,0.001131,-0.000976,0.013941,0.006905,-0.141375
6,-7.500000,-7.502469,-7.503460,-7.503583,-7.504169,-7.503737,0.000379,-0.001268,0.016903,0.007246,-0.175018
7,-8.000000,-8.002569,-8.002110,-8.003202,-8.003865,-8.003059,0.000886,-0.000490,0.006127,0.007629,-0.064269
8,-8.500000,-8.502393,-8.499899,-8.502669,-8.499344,-8.500637,0.001781,0.001756,-0.020648,0.008048,0.218141
9,-9.000000,-9.002366,-8.999802,-9.001567,-9.000430,-9.000600,0.000895,0.001766,-0.019613,0.008368,0.211003
10,-9.500000,-9.502356,-9.504741,-9.501808,-9.502748,-9.503099,0.001497,-0.000744,0.007826,0.008765,-0.084843
11,-10.000000,-10.002400,-10.003645,-10.002486,-10.001301,-10.002477,0.001172,-0.000077,0.000774,0.023047,-0.003361
12,-10.500000,-10.505467,-10.509288,-10.507786,-10.506078,-10.507718,0.001606,-0.002251,0.021426,0.023206,-0.096996
13,-11.000000,-11.004933,-11.004778,-11.005673,-11.003726,-11.004726,0.000974,0.000208,-0.001886,0.023344,0.008890
14,-11.500000,-11.506092,-11.506327,-11.506456,-11.506483,-11.506422,0.000083,-0.000330,0.002870,0.023487,-0.014061
15,-12.000000,-12.005642,-12.003856,-12.005552,-12.005993,-12.005133,0.001128,0.000508,-0.004233,0.023646,0.021492
16,-12.500000,-12.505208,-12.506742,-12.507299,-12.506484,-12.506841,0.000417,-0.001633,0.013059,0.023788,-0.068649
17,-13.000000,-13.006658,-13.004843,-13.006148,-13.004239,-13.005077,0.000975,0.001582,-0.012162,0.023943,0.066064
18,-13.500000,-13.505642,-13.509519,-13.505706,-13.503546,-13.506257,0.003025,-0.000616,0.004558,0.024149,-0.025490
19,-14.000000,-14.006817,-14.008448,-14.006871,-14.006021,-14.007113,0.001231,-0.000297,0.002118,0.024247,-0.012238
20,-14.500000,-14.506417,-14.503729,-14.507367,-14.506609,-14.505902,0.001919,0.000515,-0.003549,0.024411,0.021088
21,-15.000000,-15.005592,-15.004393,-15.006432,-15.006526,-15.005784,0.001205,-0.000192,0.001280,0.024545,-0.007827
22,-15.500000,-15.507000,-15.505746,-15.507170,-15.508697,-15.507204,0.001476,-0.000204,0.001318,0.024701,-0.008272
23,-16.000000,-16.006183,-16.002694,-16.003958,-16.002836,-16.003163,0.000693,0.003021,-0.018872,0.024839,0.121615
24,-16.500000,-16.507258,-16.508648,-16.504321,-16.504508,-16.505826,0.002446,0.001433,-0.008678,0.025025,0.057244
25,-17.000000,-17.006758,-17.007610,-17.007811,-17.007699,-17.007707,0.000101,-0.000948,0.005576,0.025135,-0.037728
26,-17.500000,-17.505767,-17.505553,-17.506075,-17.508145,-17.506591,0.001371,-0.000824,0.004707,0.025297,-0.032575
27,-18.000000,-18.007342,-18.005824,-18.008979,-18.009509,-18.008104,0.001992,-0.000762,0.004233,0.025461,-0.029939
28,-18.500000,-18.506633,-18.504609,-18.504828,-18.507322,-18.505586,0.001507,0.001047,-0.005659,0.025599,0.040910
29,-19.000000,-19.007925,-19.009597,-19.008613,-19.010016,-19.009409,0.000721,-0.001484,0.007807,0.025738,-0.057654
30,-19.500000,-19.507275,-19.506081,-19.507687,-19.508128,-19.507299,0.001078,-0.000024,0.000123,0.025892,-0.000925
31,-20.000000,-20.006750,-20.006403,-20.006453,-20.007616,-20.006824,0.000686,-0.000074,0.000370,0.026037,-0.002846
32,-20.500000,-20.507892,-20.506543,-20.509475,-20.509568,-20.508529,0.001720,-0.000637,0.003106,0.026203,-0.024311
33,-21.000000,-21.007367,-21.006389,-21.006805,-21.004705,-21.005967,0.001112,0.001400,-0.006665,0.026342,0.053154
34,-21.500000,-21.508917,-21.510834,-21.511061,-21.512559,-21.511485,0.000937,-0.002568,0.011939,0.026490,-0.096938
35,-22.000000,-22.007967,-22.009033,-22.008395,-22.008942,-22.008790,0.000345,-0.000823,0.003742,0.026634,-0.030917
36,-22.500000,-22.507125,-22.505259,-22.507365,-22.507146,-22.506590,0.001158,0.000535,-0.002376,0.026792,0.019964
37,-23.000000,-23.008386,-23.007173,-23.005826,-23.006048,-23.006349,0.000722,0.002037,-0.008853,0.026937,0.075623
38,-23.500000,-23.507483,-23.507488,-23.506677,-23.507348,-23.507171,0.000433,0.000312,-0.001329,0.027084,0.011533
39,-24.000000,-24.008958,-24.010535,-24.010652,-24.010425,-24.010537,0.000113,-0.001579,0.006577,0.027233,-0.057980
40,-24.500000,-24.507942,-24.507371,-24.506093,-24.504373,-24.505946,0.001505,0.001996,-0.008145,0.027397,0.072859
41,-25.000000,-25.007425,-25.008360,-25.004922,-25.005253,-25.006178,0.001896,0.001247,-0.004985,0.027554,0.045245
42,-25.500000,-25.508658,-25.508697,-25.508592,-25.509278,-25.508856,0.000370,-0.000198,0.000775,0.027683,-0.007140
43,-26.000000,-26.008097,-26.008048,-26.007585,-26.008048,-26.007894,0.000268,0.000204,-0.000782,0.027833,0.007312
44,-26.500000,-26.509233,-26.505842,-26.505639,-26.506528,-26.506003,0.000466,0.003230,-0.012184,0.027984,0.115424
45,-27.000000,-27.008392,-27.006588,-27.007590,-27.009473,-27.007884,0.001465,0.000508,-0.001880,0.028145,0.018038
46,-27.500000,-27.507883,-27.509056,-27.508178,-27.508837,-27.508690,0.000457,-0.000807,0.002934,0.028283,-0.028532
47,-28.000000,-28.008983,-28.005655,-28.008616,-28.006572,-28.006948,0.001516,0.002036,-0.007268,0.028445,0.071566
48,-28.500000,-28.508225,-28.508626,-28.509952,-28.508548,-28.509042,0.000789,-0.000817,0.002866,0.028585,-0.028583
49,-29.000000,-29.009553,-29.007809,-29.008620,-29.008537,-29.008322,0.000446,0.001231,-0.004243,0.028733,0.042836
50,-29.500000,-29.509036,-29.508707,-29.508874,-29.507657,-29.508413,0.000659,0.000623,-0.002113,0.028884,0.021583
51,-30.000000,-30.008075,-30.007238,-30.008610,-30.007409,-30.007752,0.000748,0.000323,-0.001076,0.029034,0.011119
52,-30.500000,-30.509272,-30.508911,-30.509528,-30.508323,-30.508920,0.000603,0.000352,-0.001153,0.029183,0.012054
53,-31.000000,-31.008303,-31.004264,-31.006120,-31.004700,-31.005028,0.000970,0.003275,-0.010561,0.029336,0.111631
54,-31.500000,-31.509767,-31.508156,-31.510322,-31.511794,-31.510090,0.001830,-0.000324,0.001027,0.029500,-0.010974
55,-32.000000,-32.009158,-32.010228,-32.010555,-32.010551,-32.010445,0.000188,-0.001286,0.004018,0.029631,-0.043406
56,-32.500000,-32.508258,-32.505757,-32.505934,-32.506554,-32.506082,0.000418,0.002177,-0.006695,0.029781,0.073084
57,-33.000000,-33.009500,-33.008708,-33.011375,-33.010076,-33.010053,0.001334,-0.000553,0.001675,0.029941,-0.018468
58,-33.500000,-33.508747,-33.508014,-33.508544,-33.510899,-33.509152,0.001536,-0.000405,0.001209,0.030093,-0.013462
59,-34.000000,-34.009708,-34.010451,-34.009058,-34.007047,-34.008852,0.001712,0.000856,-0.002518,0.030247,0.028312
60,-34.500000,-34.509100,-34.507987,-34.507894,-34.509204,-34.508361,0.000731,0.000739,-0.002140,0.030383,0.024308
61,-35.000000,-35.008456,-35.004761,-35.006927,-35.006001,-35.005896,0.001087,0.002559,-0.007310,0.030536,0.083810
62,-35.500000,-35.509600,-35.509414,-35.510225,-35.509507,-35.509715,0.000444,-0.000115,0.000325,0.030681,-0.003757
63,-36.000000,-36.009000,-36.009141,-36.010279,-36.008018,-36.009146,0.001131,-0.000146,0.000405,0.030837,-0.004734
64,-36.500000,-36.510231,-36.510853,-36.510726,-36.509254,-36.510278,0.000889,-0.000047,0.000129,0.030984,-0.001518
65,-37.000000,-37.009608,-37.008271,-37.008738,-37.009705,-37.008905,0.000732,0.000704,-0.001901,0.031132,0.022599
66,-37.500000,-37.508833,-37.507032,-37.504594,-37.505441,-37.505689,0.001237,0.003144,-0.008383,0.031287,0.100503
67,-38.000000,-38.009914,-38.008537,-38.010498,-38.013118,-38.010718,0.002298,-0.000804,0.002116,0.031457,-0.025563
68,-38.500000,-38.509150,-38.508893,-38.509267,-38.511715,-38.509958,0.001533,-0.000808,0.002099,0.031592,-0.025585
69,-39.000000,-39.010392,-39.008325,-39.010131,-39.010497,-39.009651,0.001163,0.000740,-0.001898,0.031736,0.023327
70,-39.500000,-39.509222,-39.509752,-39.509581,-39.509736,-39.509690,0.000095,-0.000467,0.001183,0.031879,-0.014664
71,-40.000000,-40.008533,-40.008666,-40.010179,-40.010288,-40.009711,0.000907,-0.001177,0.002943,0.032033,-0.036758
72,-40.500000,-40.509708,-40.508538,-40.510799,-40.511138,-40.510158,0.001414,-0.000450,0.001110,0.032189,-0.013972
73,-41.000000,-41.009047,-41.006914,-41.006922,-41.008092,-41.007309,0.000678,0.001738,-0.004237,0.032331,0.053749
74,-41.500000,-41.509942,-41.508066,-41.509064,-41.510982,-41.509371,0.001482,0.000571,-0.001376,0.032490,0.017575
75,-42.000000,-42.009250,-42.006595,-42.010282,-42.010828,-42.009235,0.002302,0.000015,-0.000036,0.032655,0.000463
76,-42.500000,-42.508900,-42.509212,-42.508432,-42.509461,-42.509035,0.000537,-0.000135,0.000318,0.032780,-0.004120
77,-43.000000,-43.009906,-43.007456,-43.008879,-43.007054,-43.007796,0.000959,0.002109,-0.004904,0.032933,0.064042
78,-43.500000,-43.508817,-43.509397,-43.509896,-43.506881,-43.508725,0.001616,0.000092,-0.000212,0.033091,0.002782
79,-44.000000,-44.010197,-44.011609,-44.010299,-44.011859,-44.011256,0.000838,-0.001058,0.002405,0.033232,-0.031846
80,-44.500000,-44.509442,-44.509231,-44.508373,-44.511290,-44.509632,0.001499,-0.000190,0.000427,0.033389,-0.005686
81,-45.000000,-45.008742,-45.006414,-45.008183,-45.005377,-45.006658,0.001419,0.002084,-0.004630,0.033537,0.062132
