序号,设定I_s/nA,回读I_std/nA,I_m1/nA,I_m2/nA,I_m3/nA,平均I_m/nA,s/nA,Delta/nA,delta/%,u_c/nA,Delta/u_c
1,5.000000,4.998711,4.999213,5.000850,5.001451,5.000504,0.001158,0.001794,0.035885,0.005446,0.329354
2,5.500000,5.498719,5.498268,5.499505,5.500124,5.499299,0.000945,0.000580,0.010550,0.005796,0.100096
3,6.000000,5.998797,5.998386,6.000887,5.998907,5.999393,0.001320,0.000596,0.009937,0.006183,0.096402
4,6.500000,6.498700,6.498136,6.499660,6.498221,6.498672,0.000856,-0.000028,-0.000432,0.006522,-0.004301
5,7.000000,6.998598,6.998638,7.000222,7.000471,6.999777,0.000994,0.001179,0.016846,0.006895,0.170993
6,7.500000,7.498594,7.496927,7.498125,7.497831,7.497628,0.000624,-0.000967,-0.012892,0.007249,-0.133365
7,8.000000,7.998494,7.995929,7.995862,7.999052,7.996948,0.001823,-0.001546,-0.019334,0.007681,-0.201322
8,8.500000,8.498597,8.496109,8.495941,8.497187,8.496412,0.000676,-0.002184,-0.025703,0.007988,-0.273443
9,9.000000,8.998417,8.995222,8.997605,8.996077,8.996301,0.001207,-0.002116,-0.023516,0.008378,-0.252572
10,9.500000,9.498477,9.500478,9.496458,9.495881,9.497606,0.002504,-0.000871,-0.009170,0.008839,-0.098538
11,10.000000,9.998273,9.998580,9.997743,9.997017,9.997780,0.000782,-0.000494,-0.004936,0.009102,-0.054220
12,10.500000,10.495350,10.496821,10.495986,10.495385,10.496064,0.000721,0.000714,0.006804,0.023188,0.030796
13,11.000000,10.995050,10.996102,10.996167,10.995021,10.995763,0.000643,0.000713,0.006488,0.023337,0.030567
14,11.500000,11.495983,11.496116,11.496447,11.495553,11.496039,0.000452,0.000055,0.000482,0.023486,0.002360
15,12.000000,11.995508,11.995968,11.995297,11.995277,11.995514,0.000393,0.000006,0.000048,0.023635,0.000242
16,12.500000,12.496833,12.496181,12.495713,12.495367,12.495754,0.000408,-0.001080,-0.008640,0.023785,-0.045396
17,13.000000,12.995967,12.994882,12.996060,12.994990,12.995311,0.000651,-0.000656,-0.005048,0.023937,-0.027405
18,13.500000,13.495183,13.496645,13.494295,13.496432,13.495790,0.001299,0.000607,0.004499,0.024095,0.025199
19,15.000000,14.996367,14.996396,14.997456,14.997145,14.996999,0.000545,0.000632,0.004216,0.024535,0.025772
20,16.000000,15.996908,15.995144,15.995058,15.995061,15.995088,0.000049,-0.001821,-0.011381,0.024833,-0.073315
21,16.500000,16.496258,16.498966,16.496637,16.493752,16.496452,0.002612,0.000193,0.001172,0.025028,0.007726
22,17.000000,16.995567,16.996496,16.993852,16.996534,16.995627,0.001538,0.000061,0.000357,0.025147,0.002413
