实际测量 (mode 1) 首拍检查  N=39
raw_09_13_+10.101nA.npz        首拍=31009   次拍=31650   差=-641
raw_09_13_+10.103nA.npz        首拍=31005   次拍=31510   差=-505
raw_09_13_+10.103nA_2.npz      首拍=31036   次拍=31571   差=-535
raw_09_13_+2.014nA.npz         首拍=31068   次拍=31612   差=-544
raw_09_13_+2.016nA.npz         首拍=31000   次拍=31656   差=-656
raw_09_13_+2.017nA.npz         首拍=31113   次拍=31647   差=-534
raw_09_13_+20.195nA.npz        首拍=31231   次拍=31967   差=-736
raw_09_13_+20.196nA.npz        首拍=31210   次拍=31767   差=-557
raw_09_13_+20.196nA_2.npz      首拍=31158   次拍=31949   差=-791
raw_09_13_+20.197nA.npz        首拍=31152   次拍=31805   差=-653
raw_09_13_+30.314nA.npz        首拍=31321   次拍=32185   差=-864
raw_09_13_+30.314nA_2.npz      首拍=31451   次拍=32190   差=-739
raw_09_13_+30.315nA.npz        首拍=31398   次拍=32185   差=-787
raw_09_13_+40.424nA.npz        首拍=31631   次拍=32612   差=-981
raw_09_13_+40.425nA.npz        首拍=31574   次拍=32374   差=-800
raw_09_13_+40.425nA_2.npz      首拍=31728   次拍=32558   差=-830
raw_09_13_+5.049nA.npz         首拍=30834   次拍=31398   差=-564
raw_09_13_+5.050nA.npz         首拍=31312   次拍=31773   差=-461
raw_09_13_+5.050nA_2.npz       首拍=30739   次拍=31416   差=-677
raw_09_13_-10.123nA.npz        首拍=30512   次拍=29771   差=+741
raw_09_13_-10.124nA.npz        首拍=30420   次拍=29803   差=+617
raw_09_13_-10.125nA.npz        首拍=30445   次拍=29751   差=+694
raw_09_13_-2.030nA.npz         首拍=30742   次拍=30357   差=+385
raw_09_13_-2.032nA.npz         首拍=30728   次拍=30335   差=+393
raw_09_13_-2.033nA.npz         首拍=30376   次拍=29893   差=+483
raw_09_13_-20.211nA.npz        首拍=30309   次拍=29660   差=+649
raw_09_13_-20.211nA_2.npz      首拍=30339   次拍=29511   差=+828
raw_09_13_-20.211nA_3.npz      首拍=30413   次拍=29594   差=+819
raw_09_13_-30.328nA.npz        首拍=30190   次拍=29224   差=+966
raw_09_13_-30.329nA_3.npz      首拍=30163   次拍=29326   差=+837
raw_09_13_-30.330nA.npz        首拍=30318   次拍=29477   差=+841
raw_09_13_-40.433nA.npz        首拍=30110   次拍=29066   差=+1044
raw_09_13_-40.434nA.npz        首拍=29980   次拍=29059   差=+921
raw_09_13_-40.436nA.npz        首拍=29977   次拍=29129   差=+848
raw_09_13_-5.065nA.npz         首拍=30611   次拍=30122   差=+489
raw_09_13_-5.067nA.npz         首拍=30632   次拍=30074   差=+558
raw_09_13_-5.067nA_2.npz       首拍=30599   次拍=29963   差=+636
raw_09_13_M0.npz               首拍=0       次拍=30833   差=-30833
raw_09_13_M3.npz               首拍=0       次拍=30835   差=-30835
