I_true,c1,c2,m,n
9.9940000000e-09,30448,11159,2479,3771
9.9940000000e-09,30471,6197,2474,3776
9.9940000000e-09,30521,10199,2478,3772
1.9918000000e-09,30728,18684,2989,3261
1.9918000000e-09,30590,18669,2989,3261
1.9918000000e-09,30646,14481,2985,3265
1.9996800000e-08,30512,39509,1878,4372
1.9996800000e-08,30570,41599,1880,4370
1.9996800000e-08,30621,38594,1877,4373
2.9998700000e-08,30644,13672,1224,5026
2.9998700000e-08,30694,14511,1225,5025
2.9998700000e-08,30604,14545,1225,5025
3.9998900000e-08,30767,7087,589,5661
3.9998900000e-08,30677,7888,590,5660
3.9998900000e-08,30837,7070,589,5661
4.9940000000e-09,30243,15984,2798,3452
4.9940000000e-09,30880,15395,2797,3453
4.9940000000e-09,30265,15048,2797,3453
-1.0007200000e-08,30953,56839,3780,2470
-1.0007200000e-08,30935,55832,3779,2471
-1.0007200000e-08,30928,58936,3782,2468
-2.0055000000e-09,31288,39568,3260,2990
-2.0055000000e-09,31281,39749,3260,2990
-2.0055000000e-09,30764,41156,3262,2988
-2.0009500000e-08,30902,21580,4374,1876
-2.0009500000e-08,30956,20527,4373,1877
-2.0009500000e-08,30934,17270,4370,1880
-3.0011000000e-08,30840,44522,5025,1225
-3.0011000000e-08,30799,45538,5026,1224
-3.0011000000e-08,30910,46648,5027,1223
-4.0011800000e-08,30745,52323,5661,589
-4.0011800000e-08,30860,52282,5661,589
-4.0011800000e-08,30868,52304,5661,589
-5.0060000000e-09,31081,43854,3453,2797
-5.0060000000e-09,30950,46928,3456,2794
-5.0060000000e-09,31102,43825,3453,2797
