set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
0.0,1,-0.00010322327999999999,0.0,0.0,156287,156213,30600,26723,30600,26723,50000,2,1980,59509,30775.2,0,1e-09,115200,always,3244,1024,50532,1097,w_p0000_0000_r1.npz,I=+0.000 nA X=+0.000 nA MODE=2 T=50000ms CAL=+0.000 RAW m=156287 n=156213 INT1=30600 INT2=26723 EXT1=30600 EXT2=26723
0.001,1,0.0008471609999999999,0.001,0.001,156280,156220,30334,22422,30334,22422,50000,2,1946,59519,30783.1,0,1e-09,115200,always,3494,1013,50529,1097,w_p0000_0010_r1.npz,I=+0.001 nA X=+0.001 nA MODE=2 T=50000ms CAL=+0.001 RAW m=156280 n=156220 INT1=30334 INT2=22422 EXT1=30334 EXT2=22422
0.002,1,0.001863729,0.002,0.002,156266,156234,30694,11693,30694,11693,50000,2,2025,59545,30782.0,0,1e-09,115200,always,3493,1016,50537,1097,w_p0000_0020_r1.npz,I=+0.002 nA X=+0.002 nA MODE=2 T=50000ms CAL=+0.002 RAW m=156266 n=156234 INT1=30694 INT2=11693 EXT1=30694 EXT2=11693
0.003,1,0.002882327,0.003,0.003,156262,156238,30369,10681,30369,10681,50000,2,1973,59547,30776.7,0,1e-09,115200,always,3494,1017,50538,1097,w_p0000_0030_r1.npz,I=+0.003 nA X=+0.003 nA MODE=2 T=50000ms CAL=+0.003 RAW m=156262 n=156238 INT1=30369 INT2=10681 EXT1=30369 EXT2=10681
0.004,1,0.0038919339999999997,0.004,0.004,156251,156249,30388,2717,30388,2717,50000,2,2033,59513,30781.5,0,1e-09,115200,always,3495,1019,50539,1097,w_p0000_0040_r1.npz,I=+0.004 nA X=+0.004 nA MODE=2 T=50000ms CAL=+0.004 RAW m=156251 n=156249 INT1=30388 INT2=2717 EXT1=30388 EXT2=2717
0.005,1,0.004841599,0.005,0.005,156283,156217,30533,38535,30533,38535,50000,2,1995,59513,30772.7,0,1e-09,115200,always,3494,1022,50539,1097,w_p0000_0050_r1.npz,I=+0.005 nA X=+0.005 nA MODE=2 T=50000ms CAL=+0.005 RAW m=156283 n=156217 INT1=30533 INT2=38535 EXT1=30533 EXT2=38535
0.006,1,0.0058596970000000005,0.006,0.006,156298,156202,31006,57508,31006,57508,50000,2,2058,59447,30775.6,0,1e-09,115200,always,3492,1015,50539,1097,w_p0000_0060_r1.npz,I=+0.006 nA X=+0.006 nA MODE=2 T=50000ms CAL=+0.006 RAW m=156298 n=156202 INT1=31006 INT2=57508 EXT1=31006 EXT2=57508
0.007,1,0.006874216000000001,0.007,0.007,156291,156209,31122,54051,31122,54051,50000,2,1944,59472,30768.2,0,1e-09,115200,always,3494,1022,50545,1096,w_p0000_0070_r1.npz,I=+0.007 nA X=+0.007 nA MODE=2 T=50000ms CAL=+0.007 RAW m=156291 n=156209 INT1=31122 INT2=54051 EXT1=31122 EXT2=54051
0.008,1,0.007892716999999999,0.008,0.008,156260,156240,30469,24754,30469,24754,50000,2,1975,59484,30780.8,0,1e-09,115200,always,3495,1020,50539,1096,w_p0000_0080_r1.npz,I=+0.008 nA X=+0.008 nA MODE=2 T=50000ms CAL=+0.008 RAW m=156260 n=156240 INT1=30469 INT2=24754 EXT1=30469 EXT2=24754
0.009,1,0.008840428999999999,0.009,0.009,156239,156261,30242,6324,30242,6324,50000,2,2004,59650,30786.5,0,1e-09,115200,always,3494,1012,50546,1096,w_p0000_0090_r1.npz,I=+0.009 nA X=+0.009 nA MODE=2 T=50000ms CAL=+0.009 RAW m=156239 n=156261 INT1=30242 INT2=6324 EXT1=30242 EXT2=6324
0.01,1,0.009856736,0.01,0.01,156262,156238,30349,32980,30349,32980,50000,2,1948,59469,30784.7,0,1e-09,115200,always,3494,1020,50546,1097,w_p0000_0100_r1.npz,I=+0.010 nA X=+0.010 nA MODE=2 T=50000ms CAL=+0.010 RAW m=156262 n=156238 INT1=30349 INT2=32980 EXT1=30349 EXT2=32980
-0.01,1,-0.01010435,-0.009,-0.009,156319,156181,30789,27831,30789,27831,50000,2,1890,59606,30793.6,0,1e-09,115200,always,3494,1014,50544,1097,w_n0000_0100_r1.npz,I=-0.009 nA X=-0.009 nA MODE=2 T=50000ms CAL=-0.009 RAW m=156319 n=156181 INT1=30789 INT2=27831 EXT1=30789 EXT2=27831
-0.009,1,-0.00909449,-0.008,-0.008,156317,156183,30517,28424,30517,28424,50000,2,1979,59372,30779.0,0,1e-09,115200,always,3495,1015,50538,1096,w_n0000_0090_r1.npz,I=-0.008 nA X=-0.008 nA MODE=2 T=50000ms CAL=-0.008 RAW m=156317 n=156183 INT1=30517 INT2=28424 EXT1=30517 EXT2=28424
-0.008,1,-0.008144378,-0.007,-0.007,156339,156161,30455,53921,30455,53921,50000,2,2017,59506,30792.0,0,1e-09,115200,always,3495,1013,50538,1096,w_n0000_0080_r1.npz,I=-0.007 nA X=-0.007 nA MODE=2 T=50000ms CAL=-0.007 RAW m=156339 n=156161 INT1=30455 INT2=53921 EXT1=30455 EXT2=53921
