set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
-0.001,1,-0.001106501,0.0,0.0,156280,156220,30300,15995,30300,15995,50000,2,2086,59513,30766.4,0,1e-09,115200,always,3242,1025,50542,1097,w_n0000_0010_r1.npz,I=+0.000 nA X=+0.000 nA MODE=2 T=50000ms CAL=+0.000 RAW m=156280 n=156220 INT1=30300 INT2=15995 EXT1=30300 EXT2=15995
-0.001,2,-0.001106344,0.0,0.0,156301,156199,31139,38494,31139,38494,50000,2,2033,59522,30794.4,0,1e-09,115200,always,3242,1025,50538,1096,w_n0000_0010_r2.npz,I=+0.000 nA X=+0.000 nA MODE=2 T=50000ms CAL=+0.000 RAW m=156301 n=156199 INT1=31139 INT2=38494 EXT1=31139 EXT2=38494
-0.001,3,-0.001101924,0.0,0.0,156280,156220,30731,16502,30731,16502,50000,2,2033,59483,30787.3,0,1e-09,115200,always,3242,1025,50542,1097,w_n0000_0010_r3.npz,I=+0.000 nA X=+0.000 nA MODE=2 T=50000ms CAL=+0.000 RAW m=156280 n=156220 INT1=30731 INT2=16502 EXT1=30731 EXT2=16502
-0.002,1,-0.002123262,-0.001,-0.001,156323,156177,31178,57721,31178,57721,50000,2,1979,59521,30767.3,0,1e-09,115200,always,3495,1017,50532,1096,w_n0000_0020_r1.npz,I=-0.001 nA X=-0.001 nA MODE=2 T=50000ms CAL=-0.001 RAW m=156323 n=156177 INT1=31178 INT2=57721 EXT1=31178 EXT2=57721
-0.002,2,-0.0021147369999999998,-0.001,-0.001,156277,156223,30553,10134,30553,10134,50000,2,2003,59495,30784.3,0,1e-09,115200,always,3495,1017,50524,1097,w_n0000_0020_r2.npz,I=-0.001 nA X=-0.001 nA MODE=2 T=50000ms CAL=-0.001 RAW m=156277 n=156223 INT1=30553 INT2=10134 EXT1=30553 EXT2=10134
-0.002,3,-0.0021136519999999997,-0.001,-0.001,156299,156201,31267,33405,31267,33405,50000,2,1961,59428,30771.1,0,1e-09,115200,always,3495,1017,50532,1096,w_n0000_0020_r3.npz,I=-0.001 nA X=-0.001 nA MODE=2 T=50000ms CAL=-0.001 RAW m=156299 n=156201 INT1=31267 INT2=33405 EXT1=31267 EXT2=33405
-0.004,1,-0.004145037,-0.003,-0.003,156319,156181,30869,46914,30869,46914,50000,2,2073,59539,30778.6,0,1e-09,115200,always,3495,1012,50506,1096,w_n0000_0040_r1.npz,I=-0.003 nA X=-0.003 nA MODE=2 T=50000ms CAL=-0.003 RAW m=156319 n=156181 INT1=30869 INT2=46914 EXT1=30869 EXT2=46914
-0.004,2,-0.004144442,-0.003,-0.003,156289,156211,30556,15891,30556,15891,50000,2,1972,59489,30784.8,0,1e-09,115200,always,3495,1012,50507,1096,w_n0000_0040_r2.npz,I=-0.003 nA X=-0.003 nA MODE=2 T=50000ms CAL=-0.003 RAW m=156289 n=156211 INT1=30556 INT2=15891 EXT1=30556 EXT2=15891
-0.004,3,-0.004153871,-0.003,-0.003,156330,156170,30788,57989,30788,57989,50000,2,1992,59549,30770.8,0,1e-09,115200,always,3495,1012,50509,1096,w_n0000_0040_r3.npz,I=-0.003 nA X=-0.003 nA MODE=2 T=50000ms CAL=-0.003 RAW m=156330 n=156170 INT1=30788 INT2=57989 EXT1=30788 EXT2=57989
-0.006,1,-0.006117333000000001,-0.005,-0.005,156315,156185,30969,36489,30969,36489,50000,2,2022,59507,30776.1,0,1e-09,115200,always,3494,1021,50507,1096,w_n0000_0060_r1.npz,I=-0.005 nA X=-0.005 nA MODE=2 T=50000ms CAL=-0.005 RAW m=156315 n=156185 INT1=30969 INT2=36489 EXT1=30969 EXT2=36489
-0.006,2,-0.006113634000000001,-0.005,-0.005,156298,156202,30499,18567,30499,18567,50000,2,2011,59595,30780.7,0,1e-09,115200,always,3494,1021,50510,1096,w_n0000_0060_r2.npz,I=-0.005 nA X=-0.005 nA MODE=2 T=50000ms CAL=-0.005 RAW m=156298 n=156202 INT1=30499 INT2=18567 EXT1=30499 EXT2=18567
-0.006,3,-0.006116867999999999,-0.005,-0.005,156328,156172,31283,50145,31283,50145,50000,2,1890,59495,30773.1,0,1e-09,115200,always,3494,1021,50510,1097,w_n0000_0060_r3.npz,I=-0.005 nA X=-0.005 nA MODE=2 T=50000ms CAL=-0.005 RAW m=156328 n=156172 INT1=31283 INT2=50145 EXT1=31283 EXT2=50145
-0.008,1,-0.008145927999999998,-0.007,-0.007,156334,156166,30893,49498,30893,49498,50000,2,2106,59426,30771.2,0,1e-09,115200,always,3495,1017,50513,1096,w_n0000_0080_r1.npz,I=-0.007 nA X=-0.007 nA MODE=2 T=50000ms CAL=-0.007 RAW m=156334 n=156166 INT1=30893 INT2=49498 EXT1=30893 EXT2=49498
-0.008,2,-0.008145606,-0.007,-0.007,156321,156179,30690,35766,30690,35766,50000,2,1940,59504,30778.9,0,1e-09,115200,always,3495,1017,50509,1096,w_n0000_0080_r2.npz,I=-0.007 nA X=-0.007 nA MODE=2 T=50000ms CAL=-0.007 RAW m=156321 n=156179 INT1=30690 INT2=35766 EXT1=30690 EXT2=35766
-0.008,3,-0.008143271,-0.007,-0.007,156291,156209,30486,5162,30486,5162,50000,2,1996,59452,30783.2,0,1e-09,115200,always,3495,1017,50505,1096,w_n0000_0080_r3.npz,I=-0.007 nA X=-0.007 nA MODE=2 T=50000ms CAL=-0.007 RAW m=156291 n=156209 INT1=30486 INT2=5162 EXT1=30486 EXT2=5162
-0.01,1,-0.0101122,-0.009,-0.009,156310,156190,30629,18163,30629,18163,50000,2,1955,59559,30785.5,0,1e-09,115200,always,3491,1021,50508,1096,w_n0000_0100_r1.npz,I=-0.009 nA X=-0.009 nA MODE=2 T=50000ms CAL=-0.009 RAW m=156310 n=156190 INT1=30629 INT2=18163 EXT1=30629 EXT2=18163
-0.01,2,-0.01011433,-0.009,-0.009,156337,156163,31006,46330,31006,46330,50000,2,2021,59525,30781.9,0,1e-09,115200,always,3491,1021,50527,1096,w_n0000_0100_r2.npz,I=-0.009 nA X=-0.009 nA MODE=2 T=50000ms CAL=-0.009 RAW m=156337 n=156163 INT1=31006 INT2=46330 EXT1=31006 EXT2=46330
-0.01,3,-0.010108220000000001,-0.009,-0.009,156321,156179,30365,29329,30365,29329,50000,2,2060,59422,30778.2,0,1e-09,115200,always,3491,1021,50526,1096,w_n0000_0100_r3.npz,I=-0.009 nA X=-0.009 nA MODE=2 T=50000ms CAL=-0.009 RAW m=156321 n=156179 INT1=30365 INT2=29329 EXT1=30365 EXT2=29329
-0.015,1,-0.015126369999999998,-0.014,-0.014,156312,156188,30322,3980,30322,3980,50000,2,1907,59533,30786.6,0,1e-09,115200,always,3493,1015,50532,1096,w_n0000_0150_r1.npz,I=-0.014 nA X=-0.014 nA MODE=2 T=50000ms CAL=-0.014 RAW m=156312 n=156188 INT1=30322 INT2=3980 EXT1=30322 EXT2=3980
-0.015,2,-0.01512298,-0.014,-0.014,156318,156182,31196,10985,31196,10985,50000,2,1991,59471,30782.9,0,1e-09,115200,always,3493,1015,50524,1096,w_n0000_0150_r2.npz,I=-0.014 nA X=-0.014 nA MODE=2 T=50000ms CAL=-0.014 RAW m=156318 n=156182 INT1=31196 INT2=10985 EXT1=31196 EXT2=10985
-0.015,3,-0.01512613,-0.014,-0.014,156328,156172,31169,21231,31169,21231,50000,2,1857,59423,30783.5,0,1e-09,115200,always,3493,1015,50507,1096,w_n0000_0150_r3.npz,I=-0.014 nA X=-0.014 nA MODE=2 T=50000ms CAL=-0.014 RAW m=156328 n=156172 INT1=31169 INT2=21231 EXT1=31169 EXT2=21231
-0.02,1,-0.02013391,-0.019,-0.019,156336,156164,30465,12536,30465,12536,50000,2,2074,59577,30782.1,0,1e-09,115200,always,3495,1017,50508,1096,w_n0000_0200_r1.npz,I=-0.019 nA X=-0.019 nA MODE=2 T=50000ms CAL=-0.019 RAW m=156336 n=156164 INT1=30465 INT2=12536 EXT1=30465 EXT2=12536
-0.02,2,-0.02013668,-0.019,-0.019,156377,156123,31271,55145,31271,55145,50000,2,2023,59494,30780.6,0,1e-09,115200,always,3495,1017,50508,1096,w_n0000_0200_r2.npz,I=-0.019 nA X=-0.019 nA MODE=2 T=50000ms CAL=-0.019 RAW m=156377 n=156123 INT1=31271 INT2=55145 EXT1=31271 EXT2=55145
-0.02,3,-0.02013417,-0.019,-0.019,156343,156157,30554,19651,30554,19651,50000,2,2094,59552,30781.1,0,1e-09,115200,always,3495,1017,50512,1096,w_n0000_0200_r3.npz,I=-0.019 nA X=-0.019 nA MODE=2 T=50000ms CAL=-0.019 RAW m=156343 n=156157 INT1=30554 INT2=19651 EXT1=30554 EXT2=19651
