set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
0.001,1,0.0008270978,0.001,0.001,156289,156211,30303,31081,30303,31081,50000,2,2066,59532,30778.6,0,1e-09,115200,always,3259,1024,50568,1108,w_p0000_0010_r1.npz,I=+0.001 nA X=+0.001 nA MODE=2 T=50000ms CAL=+0.001 RAW m=156289 n=156211 INT1=30303 INT2=31081 EXT1=30303 EXT2=31081
0.001,2,0.0008198738,0.001,0.001,156298,156202,30344,40429,30344,40429,50000,2,2047,59574,30778.1,0,1e-09,115200,always,3259,1024,50523,1096,w_p0000_0010_r2.npz,I=+0.001 nA X=+0.001 nA MODE=2 T=50000ms CAL=+0.001 RAW m=156298 n=156202 INT1=30344 INT2=40429 EXT1=30344 EXT2=40429
0.001,3,0.0008223415,0.001,0.001,156300,156200,30727,42890,30727,42890,50000,2,1938,59518,30797.2,0,1e-09,115200,always,3259,1024,50614,1096,w_p0000_0010_r3.npz,I=+0.001 nA X=+0.001 nA MODE=2 T=50000ms CAL=+0.001 RAW m=156300 n=156200 INT1=30727 INT2=42890 EXT1=30727 EXT2=42890
0.002,1,0.001836038,0.002,0.002,156264,156236,31213,9811,31213,9811,50000,2,2065,59543,30773.2,0,1e-09,115200,always,3495,1015,50528,1096,w_p0000_0020_r1.npz,I=+0.002 nA X=+0.002 nA MODE=2 T=50000ms CAL=+0.002 RAW m=156264 n=156236 INT1=31213 INT2=9811 EXT1=31213 EXT2=9811
0.002,2,0.001837552,0.002,0.002,156305,156195,31051,51488,31051,51488,50000,2,1752,59549,30776.4,0,1e-09,115200,always,3495,1015,50558,1096,w_p0000_0020_r2.npz,I=+0.002 nA X=+0.002 nA MODE=2 T=50000ms CAL=+0.002 RAW m=156305 n=156195 INT1=31051 INT2=51488 EXT1=31051 EXT2=51488
0.002,3,0.0018391129999999999,0.002,0.002,156275,156225,30277,20156,30277,20156,50000,2,2004,59511,30785.8,0,1e-09,115200,always,3495,1015,50616,1096,w_p0000_0020_r3.npz,I=+0.002 nA X=+0.002 nA MODE=2 T=50000ms CAL=+0.002 RAW m=156275 n=156225 INT1=30277 INT2=20156 EXT1=30277 EXT2=20156
0.004,1,0.003869247,0.004,0.004,156266,156234,30636,17965,30636,17965,50000,2,2036,59576,30786.5,0,1e-09,115200,always,3493,1017,50605,1096,w_p0000_0040_r1.npz,I=+0.004 nA X=+0.004 nA MODE=2 T=50000ms CAL=+0.004 RAW m=156266 n=156234 INT1=30636 INT2=17965 EXT1=30636 EXT2=17965
0.004,2,0.0038697830000000003,0.004,0.004,156264,156236,30864,15929,30864,15929,50000,2,2002,59504,30765.9,0,1e-09,115200,always,3493,1017,50643,1096,w_p0000_0040_r2.npz,I=+0.004 nA X=+0.004 nA MODE=2 T=50000ms CAL=+0.004 RAW m=156264 n=156236 INT1=30864 INT2=15929 EXT1=30864 EXT2=15929
0.004,3,0.003867698,0.004,0.004,156285,156215,31226,37747,31226,37747,50000,2,1894,59536,30771.4,0,1e-09,115200,always,3493,1017,50587,1096,w_p0000_0040_r3.npz,I=+0.004 nA X=+0.004 nA MODE=2 T=50000ms CAL=+0.004 RAW m=156285 n=156215 INT1=31226 INT2=37747 EXT1=31226 EXT2=37747
0.006,1,0.005834327,0.006,0.006,156269,156231,30879,27436,30879,27436,50000,2,,,,,1e-09,115200,always,3495,1015,50660,3,w_p0000_0060_r1.npz,I=+0.006 nA X=+0.006 nA MODE=2 T=50000ms CAL=+0.006 RAW m=156269 n=156231 INT1=30879 INT2=27436 EXT1=30879 EXT2=27436
