source,set_nA,rep,m,n,m_plus_n,t_ms,I_readback_nA
cal_sweep,45,1,325,5925,6250,1000,44.99782727272728
cal_sweep,45,2,325,5925,6250,1000,44.99782727272728
cal_sweep,45,3,325,5925,6250,1000,44.99782727272728
cal_sweep,40,1,589,5661,6250,1000,39.99875
cal_sweep,40,2,589,5661,6250,1000,39.99875
cal_sweep,40,3,589,5661,6250,1000,39.99875
cal_sweep,35,1,950,5300,6250,1000,34.99763636363636
cal_sweep,35,2,945,5305,6250,1000,34.99763636363636
cal_sweep,35,3,944,5306,6250,1000,34.99763636363636
cal_sweep,30,1,1225,5025,6250,1000,29.998149999999995
cal_sweep,30,2,1225,5025,6250,1000,29.998149999999995
cal_sweep,30,3,1225,5025,6250,1000,29.998149999999995
cal_sweep,25,1,1531,4719,6250,1000,24.99829
cal_sweep,25,2,1540,4710,6250,1000,24.99829
cal_sweep,25,3,1528,4722,6250,1000,24.99829
cal_sweep,20,1,1880,4370,6250,1000,19.996350000000003
cal_sweep,20,2,1879,4371,6250,1000,19.996350000000003
cal_sweep,20,3,1880,4370,6250,1000,19.996350000000003
cal_sweep,15,1,2193,4057,6250,1000,14.995859999999999
cal_sweep,15,2,2193,4057,6250,1000,14.995859999999999
cal_sweep,15,3,2194,4056,6250,1000,14.995859999999999
cal_sweep,10,1,2512,3738,6250,1000,9.998311111111112
cal_sweep,10,2,2470,3780,6250,1000,9.998311111111112
cal_sweep,10,3,2476,3774,6250,1000,9.998311111111112
cal_sweep,5,1,2830,3420,6250,1000,4.9986625
cal_sweep,5,2,2799,3451,6250,1000,4.9986625
cal_sweep,5,3,2798,3452,6250,1000,4.9986625
cal_sweep,0,1,31269,31231,62500,10000,-0.00015747542857142858
cal_sweep,0,2,31244,31256,62500,10000,-0.00015747542857142858
cal_sweep,0,3,31280,31220,62500,10000,-0.00015747542857142858
cal_sweep,-5,1,3425,2825,6250,1000,-5.00284625
cal_sweep,-5,2,3454,2796,6250,1000,-5.00284625
cal_sweep,-5,3,3450,2800,6250,1000,-5.00284625
cal_sweep,-10,1,3738,2512,6250,1000,-10.002533333333332
cal_sweep,-10,2,3778,2472,6250,1000,-10.002533333333332
cal_sweep,-10,3,3778,2472,6250,1000,-10.002533333333332
cal_sweep,-15,1,4057,2193,6250,1000,-15.006070000000001
cal_sweep,-15,2,4058,2192,6250,1000,-15.006070000000001
cal_sweep,-15,3,4057,2193,6250,1000,-15.006070000000001
cal_sweep,-20,1,4371,1879,6250,1000,-20.007316666666664
cal_sweep,-20,2,4371,1879,6250,1000,-20.007316666666664
cal_sweep,-20,3,4372,1878,6250,1000,-20.007316666666664
cal_sweep,-25,1,4693,1557,6250,1000,-25.00791
cal_sweep,-25,2,4714,1536,6250,1000,-25.00791
cal_sweep,-25,3,4704,1546,6250,1000,-25.00791
cal_sweep,-30,1,5026,1224,6250,1000,-30.008974999999996
cal_sweep,-30,2,5025,1225,6250,1000,-30.008974999999996
cal_sweep,-30,3,5026,1224,6250,1000,-30.008974999999996
cal_sweep,-35,1,5316,934,6250,1000,-35.00904545454546
cal_sweep,-35,2,5316,934,6250,1000,-35.00904545454546
cal_sweep,-35,3,5316,934,6250,1000,-35.00904545454546
cal_sweep,-40,1,5661,589,6250,1000,-40.009033333333335
cal_sweep,-40,2,5661,589,6250,1000,-40.009033333333335
cal_sweep,-40,3,5661,589,6250,1000,-40.009033333333335
cal_sweep,-45,1,5943,307,6250,1000,-45.009409090909095
cal_sweep,-45,2,5940,310,6250,1000,-45.009409090909095
cal_sweep,-45,3,5942,308,6250,1000,-45.009409090909095
sweep_broad_r2,6,1,2751,3499,6250,1000,5.9987587499999995
sweep_broad_r2,6,2,2747,3503,6250,1000,5.9987587499999995
sweep_broad_r2,6,3,2745,3505,6250,1000,5.9987587499999995
sweep_broad_r2,7,1,2695,3555,6250,1000,6.998564444444446
sweep_broad_r2,7,2,2695,3555,6250,1000,6.998564444444446
sweep_broad_r2,7,3,2695,3555,6250,1000,6.998564444444446
sweep_broad_r2,8,1,2650,3600,6250,1000,7.998556249999999
sweep_broad_r2,8,2,2649,3601,6250,1000,7.998556249999999
sweep_broad_r2,8,3,2649,3601,6250,1000,7.998556249999999
sweep_broad_r2,9,1,2558,3692,6250,1000,8.99843
sweep_broad_r2,9,2,2560,3690,6250,1000,8.99843
sweep_broad_r2,9,3,2560,3690,6250,1000,8.99843
sweep_broad_r2,10,1,2512,3738,6250,1000,9.99832375
sweep_broad_r2,10,2,2477,3773,6250,1000,9.99832375
sweep_broad_r2,10,3,2474,3776,6250,1000,9.99832375
sweep_broad_r2,12.5,1,2369,3881,6250,1000,12.496224999999999
sweep_broad_r2,12.5,2,2366,3884,6250,1000,12.496224999999999
sweep_broad_r2,12.5,3,2369,3881,6250,1000,12.496224999999999
sweep_broad_r2,15,1,2193,4057,6250,1000,14.996450000000001
sweep_broad_r2,15,2,2193,4057,6250,1000,14.996450000000001
sweep_broad_r2,15,3,2193,4057,6250,1000,14.996450000000001
sweep_broad_r2,17.5,1,2030,4220,6250,1000,17.496333333333332
sweep_broad_r2,17.5,2,2033,4217,6250,1000,17.496333333333332
sweep_broad_r2,17.5,3,2029,4221,6250,1000,17.496333333333332
sweep_broad_r2,20,1,1878,4372,6250,1000,19.99651
sweep_broad_r2,20,2,1879,4371,6250,1000,19.99651
sweep_broad_r2,20,3,1880,4370,6250,1000,19.99651
sweep_broad_r2,22.5,1,1733,4517,6250,1000,22.496233333333333
sweep_broad_r2,22.5,2,1733,4517,6250,1000,22.496233333333333
sweep_broad_r2,22.5,3,1733,4517,6250,1000,22.496233333333333
sweep_broad_r2,25,1,1534,4716,6250,1000,24.99785
sweep_broad_r2,25,2,1540,4710,6250,1000,24.99785
sweep_broad_r2,25,3,1535,4715,6250,1000,24.99785
sweep_broad_r2,27.5,1,1404,4846,6250,1000,27.497925000000002
sweep_broad_r2,27.5,2,1404,4846,6250,1000,27.497925000000002
sweep_broad_r2,27.5,3,1404,4846,6250,1000,27.497925000000002
sweep_broad_r2,30,1,1225,5025,6250,1000,29.997739999999997
sweep_broad_r2,30,2,1224,5026,6250,1000,29.997739999999997
sweep_broad_r2,30,3,1224,5026,6250,1000,29.997739999999997
sweep_broad_r2,32.5,1,1076,5174,6250,1000,32.497366666666665
sweep_broad_r2,32.5,2,1075,5175,6250,1000,32.497366666666665
sweep_broad_r2,32.5,3,1075,5175,6250,1000,32.497366666666665
sweep_broad_r2,35,1,944,5306,6250,1000,34.99748181818182
sweep_broad_r2,35,2,944,5306,6250,1000,34.99748181818182
sweep_broad_r2,35,3,950,5300,6250,1000,34.99748181818182
sweep_broad_r2,37.5,1,783,5467,6250,1000,37.49934166666666
sweep_broad_r2,37.5,2,783,5467,6250,1000,37.49934166666666
sweep_broad_r2,37.5,3,783,5467,6250,1000,37.49934166666666
sweep_broad_r2,40,1,589,5661,6250,1000,39.99838
sweep_broad_r2,40,2,589,5661,6250,1000,39.99838
sweep_broad_r2,40,3,589,5661,6250,1000,39.99838
sweep_broad_r2,-6,1,3505,2745,6250,1000,-6.0027422222222215
sweep_broad_r2,-6,2,3506,2744,6250,1000,-6.0027422222222215
sweep_broad_r2,-6,3,3502,2748,6250,1000,-6.0027422222222215
sweep_broad_r2,-7,1,3556,2694,6250,1000,-7.002612500000001
sweep_broad_r2,-7,2,3553,2697,6250,1000,-7.002612500000001
sweep_broad_r2,-7,3,3555,2695,6250,1000,-7.002612500000001
sweep_broad_r2,-8,1,3604,2646,6250,1000,-8.00273111111111
sweep_broad_r2,-8,2,3602,2648,6250,1000,-8.00273111111111
