set_nA,rep,I_nA,resid_pA
6,1,5.99875875,-1.15728112
6,2,5.99875875,-0.6773234887
6,3,5.99875875,-2.160526167
7,1,6.998564444,-1.129629707
7,2,6.998564444,-0.303126366
7,3,6.998564444,0.5857545856
8,1,7.99855625,-1.941312178
8,2,7.99855625,-3.914871327
8,3,7.99855625,-4.710185863
9,1,8.99843,-3.338460203
9,2,8.99843,-1.325047835
9,3,8.99843,-3.477075402
10,1,9.99832375,0.6175692654
10,2,9.99832375,-1.775335182
10,3,9.99832375,-2.347132517
12.5,1,12.496225,-3.605399135
12.5,2,12.496225,-3.1791547
12.5,3,12.496225,-2.669734975
15,1,14.99645,-0.3016814685
15,2,14.99645,-0.644758327
15,3,14.99645,0.2753114299
17.5,1,17.49633333,-2.126455906
17.5,2,17.49633333,-0.6969664242
17.5,3,17.49633333,-0.3573584164
20,1,19.99651,-0.07911602757
20,2,19.99651,-1.22443741
20,3,19.99651,-1.901926713
22.5,1,22.49623333,-0.1688403703
22.5,2,22.49623333,-0.2780011889
22.5,3,22.49623333,-1.33842057
25,1,24.99785,-2.183133129
25,2,24.99785,-1.897230605
25,3,24.99785,-1.160832542
27.5,1,27.497925,0.2968401482
27.5,2,27.497925,-1.886376224
27.5,3,27.497925,1.404042737
30,1,29.99774,-0.2883017564
30,2,29.99774,-1.310602343
30,3,29.99774,-0.6088542236
32.5,1,32.49736667,-3.169792775
32.5,2,32.49736667,-1.77496095
32.5,3,32.49736667,-2.492303472
35,1,34.99748182,-1.916880041
35,2,34.99748182,-1.79212482
35,3,34.99748182,-1.927271167
37.5,1,37.49934167,-1.272030446
37.5,2,37.49934167,-2.067344982
37.5,3,37.49934167,-2.1765058
40,1,39.99838,2.220296691
40,2,39.99838,0.1462411372
40,3,39.99838,2.781695187
-6,1,-6.002742222,0.1066806537
-6,2,-6.002742222,-1.10101834
-6,3,-6.002742222,-0.9953263719
-7,1,-7.0026125,-0.1804087444
-7,2,-7.0026125,-0.4871012344
-7,3,-7.0026125,-1.483408579
-8,1,-8.002731111,-0.5414517018
-8,2,-8.002731111,-0.8550741804
-8,3,-8.002731111,-0.3872421006
-9,1,-9.00256375,2.661654715
-9,2,-9.00256375,2.379221041
-9,3,-9.00256375,1.029437999
-10,1,-10.00256667,-2.982033244
-10,2,-10.00256667,0.2131234405
-10,3,-10.00256667,-1.316862446
-12.5,1,-12.50567,-0.8568886678
-12.5,2,-12.50567,-0.5224762233
-12.5,3,-12.50567,-1.052685914
-15,1,-15.00611667,-2.06415021
-15,2,-15.00611667,0.3685766046
-15,3,-15.00611667,-0.1009899005
-17.5,1,-17.50662,-0.6659351768
-17.5,2,-17.50662,0.6405335087
-17.5,3,-17.50662,-1.281046869
-20,1,-20.00730833,-2.116706386
-20,2,-20.00730833,-0.08076962645
-20,3,-20.00730833,-1.210496607
-22.5,1,-22.50757,-0.5356557226
-22.5,2,-22.50757,-1.486914285
-22.5,3,-22.50757,-1.923557559
-25,1,-25.00788333,0.8666606958
-25,2,-25.00788333,1.168142197
-25,3,-25.00788333,1.776331613
-27.5,1,-27.50849,-0.7281779296
-27.5,2,-27.50849,-1.273982023
-27.5,3,-27.50849,-1.570275673
-30,1,-30.00855,-0.8181057819
-30,2,-30.00855,-2.221602021
-30,3,-30.00855,-2.237196424
-32.5,1,-32.50859,0.08039154971
-32.5,2,-32.50859,-0.8587337478
-32.5,3,-32.50859,1.156405333
-35,1,-35.008725,2.449634315
-35,2,-35.008725,1.45851482
-35,3,-35.008725,1.652577641
-37.5,1,-37.50918182,1.855502715
-37.5,2,-37.50918182,1.605992272
-37.5,3,-37.50918182,0.3896288648
-40,1,-40.0091,-0.1886628786
-40,2,-40.0091,-1.389431883
-40,3,-40.0091,-0.1418796706
