lambda_nm,block,V,I_nA
546.0,粗扫,-1.103,-0.029
546.0,粗扫,-1.0,-0.028
546.0,粗扫,-0.902,-0.028
546.0,粗扫,-0.8,-0.027
546.0,粗扫,-0.7,-0.024
546.0,粗扫,-0.601,-0.011
546.0,粗扫,-0.5,0.03
546.0,粗扫,-0.4,0.107
546.0,粗扫,-0.3,0.204
546.0,粗扫,-0.2,0.313
546.0,粗扫,-0.1,0.426
546.0,中段,-0.04,0.475
546.0,中段,-0.031,0.485
546.0,中段,-0.02,0.495
546.0,中段,-0.012,0.506
546.0,中段,0.01,0.522
546.0,细扫,-0.59,-0.009
546.0,细扫,-0.58,-0.0063145
546.0,细扫,-0.57,-0.0030147
546.0,细扫,-0.56,0.0007745
546.0,细扫,-0.55,0.0048873
436.0,粗扫,-1.997,-0.2
436.0,粗扫,-1.899,-0.2
436.0,粗扫,-1.8,-0.2
436.0,粗扫,-1.7,-0.2
436.0,粗扫,-1.601,-0.2
436.0,粗扫,-1.498,-0.19
436.0,粗扫,-1.401,-0.18
436.0,粗扫,-1.301,-0.17
436.0,粗扫,-1.2,-0.15
436.0,粗扫,-1.1,-0.06935
436.0,粗扫,-0.9,0.32
436.0,粗扫,-0.8,0.61
436.0,粗扫,-0.7,0.96
436.0,粗扫,-0.6,1.32
436.0,粗扫,-0.5,1.7
436.0,粗扫,-0.4,2.1
436.0,粗扫,-0.3,2.49
436.0,粗扫,-0.2,2.96
436.0,粗扫,-0.101,3.39
436.0,粗扫,0.001,3.77
436.0,细扫,-1.0,0.08752
436.0,细扫,-1.01,0.0675
436.0,细扫,-1.02,0.04742
436.0,细扫,-1.03,0.02986
436.0,细扫,-1.04,0.01387
436.0,细扫,-1.051,-0.00328
436.0,细扫,-1.06,-0.0174
436.0,细扫,-1.07,-0.03088
436.0,细扫,-1.08,-0.04354
436.0,细扫,-1.09,-0.05664
365.0,粗扫,-1.949,-0.22
365.0,粗扫,-1.9,-0.22
365.0,粗扫,-1.799,-0.21
365.0,粗扫,-1.7,-0.17
365.0,粗扫,-1.6,-0.1
365.0,粗扫,-1.5,0.01997
365.0,粗扫,-1.402,0.17
365.0,粗扫,-1.3,0.39
365.0,粗扫,-1.2,0.62
365.0,粗扫,-1.1,0.9
365.0,粗扫,-0.999,1.19
365.0,粗扫,-0.9,1.53
365.0,粗扫,-0.801,1.86
365.0,粗扫,-0.7,2.21
365.0,粗扫,-0.6,2.61
365.0,粗扫,-0.5,2.99
365.0,粗扫,-0.4,3.39
365.0,粗扫,-0.3,3.78
365.0,粗扫,-0.199,4.23
365.0,粗扫,-0.1,4.68
365.0,粗扫,0.001,5.12
365.0,细扫,-1.59,-0.08817
365.0,细扫,-1.58,-0.07637
365.0,细扫,-1.57,-0.06623
365.0,细扫,-1.56,-0.05548
365.0,细扫,-1.55,-0.04391
365.0,细扫,-1.54,-0.0322
365.0,细扫,-1.53,-0.02
365.0,细扫,-1.52,-0.00735
365.0,细扫,-1.511,0.00536
