set_pA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,true_nA,dev_avg_nA,err_pct
6000.0,1,1,1000,6.056,6.056,2751,3499,31113,33200,31113,33200,5.9987587499999995,6.057333333333333,0.9764450576268593
6000.0,2,1,1000,6.058,6.058,2747,3503,30583,28619,30583,28619,5.9987587499999995,6.057333333333333,0.9764450576268593
6000.0,3,1,1000,6.058,6.058,2745,3505,30615,26515,30615,26515,5.9987587499999995,6.057333333333333,0.9764450576268593
7000.0,1,1,1000,7.063,7.063,2695,3555,30657,39714,30657,39714,6.998564444444446,7.063666666666666,0.930222515474579
7000.0,2,1,1000,7.064,7.064,2695,3555,30716,39826,30716,39826,6.998564444444446,7.063666666666666,0.930222515474579
7000.0,3,1,1000,7.064,7.064,2695,3555,30587,39754,30587,39754,6.998564444444446,7.063666666666666,0.930222515474579
8000.0,1,1,1000,8.063,8.063,2650,3600,30466,57676,30466,57676,7.998556249999999,8.062,0.7931900210116076
8000.0,2,1,1000,8.062,8.062,2649,3601,30414,56477,30414,56477,7.998556249999999,8.062,0.7931900210116076
8000.0,3,1,1000,8.061,8.061,2649,3601,30558,56570,30558,56570,7.998556249999999,8.062,0.7931900210116076
9000.0,1,1,1000,9.087,9.087,2558,3692,30746,28103,30746,28103,8.99843,9.087,0.984282813779725
9000.0,2,1,1000,9.088,9.088,2560,3690,30653,30180,30653,30180,8.99843,9.087,0.984282813779725
9000.0,3,1,1000,9.086,9.086,2560,3690,30702,30091,30702,30091,8.99843,9.087,0.984282813779725
10000.0,1,1,1000,10.092,10.092,2512,3738,30867,45656,30867,45656,9.99832375,10.103,1.0469379929810625
10000.0,2,1,1000,10.108,10.108,2477,3773,30541,9461,30541,9461,9.99832375,10.103,1.0469379929810625
10000.0,3,1,1000,10.109,10.109,2474,3776,30557,6379,30557,6379,9.99832375,10.103,1.0469379929810625
12500.0,1,1,1000,12.605,12.605,2369,3881,30367,59141,30367,59141,12.496224999999999,12.606,0.8784652965195557
12500.0,2,1,1000,12.607,12.607,2366,3884,30660,56400,30660,56400,12.496224999999999,12.606,0.8784652965195557
12500.0,3,1,1000,12.606,12.606,2369,3881,30728,59562,30728,59562,12.496224999999999,12.606,0.8784652965195557
15000.0,1,1,1000,15.144,15.144,2193,4057,30693,40409,30693,40409,14.996450000000001,15.144,0.9838995228870763
15000.0,2,1,1000,15.144,15.144,2193,4057,30682,40376,30682,40376,14.996450000000001,15.144,0.9838995228870763
15000.0,3,1,1000,15.144,15.144,2193,4057,30744,40497,30744,40497,14.996450000000001,15.144,0.9838995228870763
17500.0,1,1,1000,17.671,17.671,2030,4220,30585,34158,30585,34158,17.496333333333332,17.671666666666667,1.0021147288003265
17500.0,2,1,1000,17.671,17.671,2033,4217,30633,37359,30633,37359,17.496333333333332,17.671666666666667,1.0021147288003265
17500.0,3,1,1000,17.673,17.673,2029,4221,30642,33308,30642,33308,17.496333333333332,17.671666666666667,1.0021147288003265
