set_pA,rep,mode,t_ms,dev_nA,dev_ext_nA,true_nA,dev_avg_nA,err_pct
6000.0,1,1,1000,6.057,6.057,5.9987787500000005,6.058333333333334,0.9927784606714004
6000.0,2,1,1000,6.06,6.06,5.9987787500000005,6.058333333333334,0.9927784606714004
6000.0,3,1,1000,6.058,6.058,5.9987787500000005,6.058333333333334,0.9927784606714004
7000.0,1,1,1000,7.061,7.061,6.99862888888889,7.062333333333334,0.9102417838668702
7000.0,2,1,1000,7.062,7.062,6.99862888888889,7.062333333333334,0.9102417838668702
7000.0,3,1,1000,7.064,7.064,6.99862888888889,7.062333333333334,0.9102417838668702
8000.0,1,1,1000,8.062,8.062,7.998533750000001,8.063666666666666,0.8143107062174417
8000.0,2,1,1000,8.064,8.064,7.998533750000001,8.063666666666666,0.8143107062174417
8000.0,3,1,1000,8.065,8.065,7.998533750000001,8.063666666666666,0.8143107062174417
9000.0,1,1,1000,9.084,9.084,8.998507777777778,9.086333333333334,0.9760013296031704
9000.0,2,1,1000,9.09,9.09,8.998507777777778,9.086333333333334,0.9760013296031704
9000.0,3,1,1000,9.085,9.085,8.998507777777778,9.086333333333334,0.9760013296031704
10000.0,1,1,1000,10.092,10.092,9.998524999999999,10.101666666666667,1.0315688230680784
10000.0,2,1,1000,10.108,10.108,9.998524999999999,10.101666666666667,1.0315688230680784
10000.0,3,1,1000,10.105,10.105,9.998524999999999,10.101666666666667,1.0315688230680784
12500.0,1,1,1000,12.607,12.607,12.496533333333334,12.609,0.8999829285988615
12500.0,2,1,1000,12.608,12.608,12.496533333333334,12.609,0.8999829285988615
12500.0,3,1,1000,12.612,12.612,12.496533333333334,12.609,0.8999829285988615
15000.0,1,1,1000,15.142,15.142,14.996120000000003,15.143666666666666,0.9838989463051999
15000.0,2,1,1000,15.144,15.144,14.996120000000003,15.143666666666666,0.9838989463051999
15000.0,3,1,1000,15.145,15.145,14.996120000000003,15.143666666666666,0.9838989463051999
17500.0,1,1,1000,17.671,17.671,17.496299999999998,17.671333333333333,1.0004019897540346
17500.0,2,1,1000,17.671,17.671,17.496299999999998,17.671333333333333,1.0004019897540346
17500.0,3,1,1000,17.672,17.672,17.496299999999998,17.671333333333333,1.0004019897540346
20000.0,1,1,1000,20.195,20.195,19.99651,20.196,0.9976240854029069
20000.0,2,1,1000,20.196,20.196,19.99651,20.196,0.9976240854029069
20000.0,3,1,1000,20.197,20.197,19.99651,20.196,0.9976240854029069
22500.0,1,1,1000,22.717,22.717,22.496241666666666,22.717,0.9813120636076582
22500.0,2,1,1000,22.717,22.717,22.496241666666666,22.717,0.9813120636076582
22500.0,3,1,1000,22.717,22.717,22.496241666666666,22.717,0.9813120636076582
25000.0,1,1,1000,25.251,25.251,24.99796,25.25666666666667,1.0349111154137065
25000.0,2,1,1000,25.263,25.263,24.99796,25.25666666666667,1.0349111154137065
25000.0,3,1,1000,25.256,25.256,24.99796,25.25666666666667,1.0349111154137065
27500.0,1,1,1000,27.778,27.778,27.498041666666666,27.777666666666665,1.016890596754615
27500.0,2,1,1000,27.777,27.777,27.498041666666666,27.777666666666665,1.016890596754615
27500.0,3,1,1000,27.778,27.778,27.498041666666666,27.777666666666665,1.016890596754615
30000.0,1,1,1000,30.315,30.315,29.997780000000006,30.31533333333333,1.058589446730143
30000.0,2,1,1000,30.315,30.315,29.997780000000006,30.31533333333333,1.058589446730143
30000.0,3,1,1000,30.316,30.316,29.997780000000006,30.31533333333333,1.058589446730143
32500.0,1,1,1000,32.83,32.83,32.4977,32.833666666666666,1.0338167521598884
32500.0,2,1,1000,32.835,32.835,32.4977,32.833666666666666,1.0338167521598884
32500.0,3,1,1000,32.836,32.836,32.4977,32.833666666666666,1.0338167521598884
35000.0,1,1,1000,35.344,35.344,34.997463636363634,35.342999999999996,0.9873183017678403
35000.0,2,1,1000,35.343,35.343,34.997463636363634,35.342999999999996,0.9873183017678403
35000.0,3,1,1000,35.342,35.342,34.997463636363634,35.342999999999996,0.9873183017678403
37500.0,1,1,1000,37.875,37.875,37.499125,37.876,1.005023450547175
37500.0,2,1,1000,37.876,37.876,37.499125,37.876,1.005023450547175
37500.0,3,1,1000,37.877,37.877,37.499125,37.876,1.005023450547175
40000.0,1,1,1000,40.424,40.424,39.99857,40.425000000000004,1.0661131135438178
