gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,rb_nA
A5,pulse,40.0,0.25,10.0,0.025,1.0,0.984252,1,2,10000,0.348,nan
A5,pulse,40.0,0.25,10.0,0.025,1.0,0.984252,2,2,10000,-0.005,nan
A5,pulse,40.0,0.25,10.0,0.025,1.0,0.984252,3,2,10000,-0.005,nan
D:1,dc,1.0,0.0,0.0,1.0,1.0,1.000000,1,2,10000,0.999,0.9999145555555556
D:1,dc,1.0,0.0,0.0,1.0,1.0,1.000000,2,2,10000,1.0,0.9999243333333334
D:1,dc,1.0,0.0,0.0,1.0,1.0,1.000000,3,2,10000,1.0,0.999922
A4,pulse,40.0,0.5,10.0,0.05,2.0,1.968504,1,1,1000,1.979,nan
A4,pulse,40.0,0.5,10.0,0.05,2.0,1.968504,2,1,1000,1.958,nan
A4,pulse,40.0,0.5,10.0,0.05,2.0,1.968504,3,1,1000,1.973,nan
D:2,dc,2.0,0.0,0.0,1.0,2.0,2.000000,1,1,1000,1.999,1.9987900000000003
D:2,dc,2.0,0.0,0.0,1.0,2.0,2.000000,2,1,1000,1.995,1.9988466666666667
D:2,dc,2.0,0.0,0.0,1.0,2.0,2.000000,3,1,1000,1.997,1.9988066666666668
A3,pulse,40.0,1.0,10.0,0.1,4.0,3.937008,1,1,1000,3.954,nan
A3,pulse,40.0,1.0,10.0,0.1,4.0,3.937008,2,1,1000,3.952,nan
A3,pulse,40.0,1.0,10.0,0.1,4.0,3.937008,3,1,1000,3.96,nan
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.000000,1,1,1000,3.999,3.9990550000000002
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.000000,2,1,1000,3.996,3.9990166666666673
D:4,dc,4.0,0.0,0.0,1.0,4.0,4.000000,3,1,1000,3.996,3.999106666666667
A2,pulse,40.0,2.5,10.0,0.25,10.0,9.842520,1,1,1000,9.898,nan
A2,pulse,40.0,2.5,10.0,0.25,10.0,9.842520,2,1,1000,9.839,nan
A2,pulse,40.0,2.5,10.0,0.25,10.0,9.842520,3,1,1000,9.871,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102,1,1,1000,9.982,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102,2,1,1000,9.993,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102,3,1,1000,9.995,nan
P2,pulse,40.0,5.0,20.0,0.25,10.0,9.920635,1,1,1000,9.989,nan
P2,pulse,40.0,5.0,20.0,0.25,10.0,9.920635,2,1,1000,9.852,nan
P2,pulse,40.0,5.0,20.0,0.25,10.0,9.920635,3,1,1000,9.988,nan
P3,pulse,40.0,2.5,10.0,0.25,10.0,9.842520,1,1,1000,9.897,nan
P3,pulse,40.0,2.5,10.0,0.25,10.0,9.842520,2,1,1000,9.84,nan
P3,pulse,40.0,2.5,10.0,0.25,10.0,9.842520,3,1,1000,9.894,nan
P4,pulse,40.0,1.25,5.0,0.25,10.0,9.689922,1,1,1000,9.795,nan
P4,pulse,40.0,1.25,5.0,0.25,10.0,9.689922,2,1,1000,9.788,nan
P4,pulse,40.0,1.25,5.0,0.25,10.0,9.689922,3,1,1000,9.753,nan
P5,pulse,40.0,0.5,2.0,0.25,10.0,9.259259,1,1,1000,9.467,nan
P5,pulse,40.0,0.5,2.0,0.25,10.0,9.259259,2,1,1000,9.46,nan
P5,pulse,40.0,0.5,2.0,0.25,10.0,9.259259,3,1,1000,9.469,nan
P6,pulse,40.0,0.25,1.0,0.25,10.0,8.620690,1,1,1000,8.971,nan
P6,pulse,40.0,0.25,1.0,0.25,10.0,8.620690,2,1,1000,8.981,nan
P6,pulse,40.0,0.25,1.0,0.25,10.0,8.620690,3,1,1000,8.973,nan
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.000000,1,1,1000,9.999,9.998664999999999
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.000000,2,1,1000,9.994,9.998750000000001
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.000000,3,1,1000,9.995,9.99874
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.685039,1,1,1000,19.792,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.685039,2,1,1000,19.732,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.685039,3,1,1000,19.792,nan
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.000000,1,1,1000,19.996,19.9974
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.000000,2,1,1000,19.996,19.997500000000002
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.000000,3,1,1000,19.995,19.997425
K6,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.781163,1,1,1000,37.951,nan
K6,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.781163,2,1,1000,39.083,nan
K6,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.781163,3,1,1000,37.967,nan
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.069767,1,1,1000,39.067,39.068666666666665
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.069767,2,1,1000,39.067,39.0689
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.069767,3,1,1000,39.066,39.068774999999995
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.370079,1,1,1000,39.024,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.370079,2,1,1000,39.08,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.370079,3,1,1000,39.034,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.370079,1,1,1000,38.989,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.370079,2,1,1000,39.06,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.370079,3,1,1000,38.99,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.370079,1,1,1000,38.973,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.370079,2,1,1000,39.02,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.370079,3,1,1000,38.946,nan
K4,pulse,3000.0,0.2,15.0,0.013333333333333334,40.0,39.577836,1,1,1000,39.589,nan
K4,pulse,3000.0,0.2,15.0,0.013333333333333334,40.0,39.577836,2,1,1000,39.979,nan
K4,pulse,3000.0,0.2,15.0,0.013333333333333334,40.0,39.577836,3,1,1000,39.969,nan
K5,pulse,4000.0,0.2,20.0,0.01,40.0,39.682540,1,1,1000,39.427,nan
K5,pulse,4000.0,0.2,20.0,0.01,40.0,39.682540,2,1,1000,39.5,nan
K5,pulse,4000.0,0.2,20.0,0.01,40.0,39.682540,3,1,1000,39.542,nan
K7,pulse,5000.0,0.2,25.0,0.008,40.0,39.745628,1,1,1000,38.922,nan
K7,pulse,5000.0,0.2,25.0,0.008,40.0,39.745628,2,1,1000,38.984,nan
K7,pulse,5000.0,0.2,25.0,0.008,40.0,39.745628,3,1,1000,38.958,nan
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.000000,1,1,1000,39.999,39.99925
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.000000,2,1,1000,39.998,39.99935
D:40,dc,40.0,0.0,0.0,1.0,40.0,40.000000,3,1,1000,39.998,39.9995
