gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
A12,pulse,20.0,0.25,10.0,0.025,0.5,0.4921259842519685,1,2,10000,0.489,0.489,0.489,0.489,63.06159540000226,nan
A12,pulse,20.0,0.25,10.0,0.025,0.5,0.4921259842519685,2,2,10000,0.489,0.489,0.489,0.489,63.06159540000226,nan
A12,pulse,20.0,0.25,10.0,0.025,0.5,0.4921259842519685,3,2,10000,0.489,0.489,0.489,0.489,63.06159540000226,nan
A12,pulse,20.0,0.25,10.0,0.025,0.5,0.4921259842519685,4,2,10000,0.489,0.489,0.489,0.489,63.06159540000226,nan
A12,pulse,20.0,0.25,10.0,0.025,0.5,0.4921259842519685,5,2,10000,0.344,0.344,0.344,0.344,63.06159540000226,nan
D:0.5,dc,0.5,0.0,0.0,1.0,0.5,0.5,1,2,10000,0.5,0.5,0.5,0.5,nan,0.49992433333333336
D:0.5,dc,0.5,0.0,0.0,1.0,0.5,0.5,2,2,10000,0.5,0.5,0.5,0.5,nan,0.4999242222222222
D:0.5,dc,0.5,0.0,0.0,1.0,0.5,0.5,3,2,10000,0.5,0.5,0.5,0.5,nan,0.49992800000000004
D:0.5,dc,0.5,0.0,0.0,1.0,0.5,0.5,4,2,10000,0.5,0.5,0.5,0.5,nan,0.49992388888888883
D:0.5,dc,0.5,0.0,0.0,1.0,0.5,0.5,5,2,10000,0.5,0.5,0.5,0.5,nan,0.49992466666666663
A11,pulse,40.0,0.25,10.0,0.025,1.0,0.984251968503937,1,2,10000,0.526,0.526,0.526,0.526,17.369594299998425,nan
A11,pulse,40.0,0.25,10.0,0.025,1.0,0.984251968503937,2,2,10000,-0.005,-0.005,-0.005,-0.005,17.369594299998425,nan
A11,pulse,40.0,0.25,10.0,0.025,1.0,0.984251968503937,3,2,10000,-0.005,-0.005,-0.005,-0.005,17.369594299998425,nan
A11,pulse,40.0,0.25,10.0,0.025,1.0,0.984251968503937,4,2,10000,-0.005,-0.005,-0.005,-0.005,17.369594299998425,nan
A11,pulse,40.0,0.25,10.0,0.025,1.0,0.984251968503937,5,2,10000,-0.005,-0.005,-0.005,-0.005,17.369594299998425,nan
D:1,dc,1.0,0.0,0.0,1.0,1.0,1.0,1,2,10000,1.0,1.0,1.0,1.0,nan,0.9999256666666667
D:1,dc,1.0,0.0,0.0,1.0,1.0,1.0,2,1,1000,1.001,1.001,1.001,1.001,nan,0.999925
D:1,dc,1.0,0.0,0.0,1.0,1.0,1.0,3,2,10000,1.0,1.0,1.0,1.0,nan,0.9999225555555556
A10,pulse,40.0,0.375,10.0,0.0375,1.5,1.4763779527559056,1,1,1000,1.482,1.482,1.482,1.482,17.36863209999865,nan
A10,pulse,40.0,0.375,10.0,0.0375,1.5,1.4763779527559056,2,1,1000,1.481,1.481,1.481,1.481,17.36863209999865,nan
A10,pulse,40.0,0.375,10.0,0.0375,1.5,1.4763779527559056,3,1,1000,1.48,1.48,1.48,1.48,17.36863209999865,nan
A10,pulse,40.0,0.375,10.0,0.0375,1.5,1.4763779527559056,4,1,1000,1.482,1.482,1.482,1.482,17.36863209999865,nan
A10,pulse,40.0,0.375,10.0,0.0375,1.5,1.4763779527559056,5,1,1000,1.48,1.48,1.48,1.48,17.36863209999865,nan
D:1.5,dc,1.5,0.0,0.0,1.0,1.5,1.5,1,1,1000,1.5,1.5,1.5,1.5,nan,1.498745
D:1.5,dc,1.5,0.0,0.0,1.0,1.5,1.5,2,1,1000,1.497,1.497,1.497,1.497,nan,1.4987533333333332
D:1.5,dc,1.5,0.0,0.0,1.0,1.5,1.5,3,1,1000,1.495,1.495,1.495,1.495,nan,1.49881
D:1.5,dc,1.5,0.0,0.0,1.0,1.5,1.5,4,1,1000,1.497,1.497,1.497,1.497,nan,1.49878
D:1.5,dc,1.5,0.0,0.0,1.0,1.5,1.5,5,1,1000,1.497,1.497,1.497,1.497,nan,1.4987499999999998
A9,pulse,40.0,0.5,10.0,0.05,2.0,1.968503937007874,1,1,1000,1.975,1.975,1.975,1.975,17.370784400001867,nan
A9,pulse,40.0,0.5,10.0,0.05,2.0,1.968503937007874,2,1,1000,1.979,1.979,1.979,1.979,17.370784400001867,nan
A9,pulse,40.0,0.5,10.0,0.05,2.0,1.968503937007874,3,1,1000,1.974,1.974,1.974,1.974,17.370784400001867,nan
A9,pulse,40.0,0.5,10.0,0.05,2.0,1.968503937007874,4,1,1000,1.973,1.973,1.973,1.973,17.370784400001867,nan
A9,pulse,40.0,0.5,10.0,0.05,2.0,1.968503937007874,5,1,1000,1.967,1.967,1.967,1.967,17.370784400001867,nan
D:2,dc,2.0,0.0,0.0,1.0,2.0,2.0,1,1,1000,2.001,2.001,2.001,2.001,nan,1.9987900000000003
