gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,1,1,1000,38.943,38.943,38.943,38.943,17.36407920000056,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,2,1,1000,37.923,37.923,37.923,37.923,17.36407920000056,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,3,1,1000,39.008,39.008,39.008,39.008,17.36407920000056,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,4,1,1000,37.944,37.944,37.944,37.944,17.36407920000056,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,5,1,1000,38.967,38.967,38.967,38.967,17.36407920000056,nan
D:39.0698,dc,39.069767442,0.0,0.0,1.0,39.069767442,39.069767442,1,1,1000,39.068,39.068,39.068,39.068,nan,39.069100000000006
D:39.0698,dc,39.069767442,0.0,0.0,1.0,39.069767442,39.069767442,2,1,1000,39.067,39.067,39.067,39.067,nan,39.069
D:39.0698,dc,39.069767442,0.0,0.0,1.0,39.069767442,39.069767442,3,1,1000,39.065,39.065,39.065,39.065,nan,39.06905
D:39.0698,dc,39.069767442,0.0,0.0,1.0,39.069767442,39.069767442,4,1,1000,39.066,39.066,39.066,39.066,nan,39.069175
D:39.0698,dc,39.069767442,0.0,0.0,1.0,39.069767442,39.069767442,5,1,1000,39.07,39.07,39.07,39.07,nan,39.06915
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,1,1,1000,39.106,39.106,39.106,39.106,17.370533300003444,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,2,1,1000,39.074,39.074,39.074,39.074,17.370533300003444,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,3,1,1000,39.11,39.11,39.11,39.11,17.370533300003444,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,4,1,1000,39.123,39.123,39.123,39.123,17.370533300003444,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,5,1,1000,39.144,39.144,39.144,39.144,17.370533300003444,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,1,1,1000,39.116,39.116,39.116,39.116,17.381837399996584,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,2,1,1000,39.124,39.124,39.124,39.124,17.381837399996584,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,3,1,1000,39.131,39.131,39.131,39.131,17.381837399996584,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,4,1,1000,39.064,39.064,39.064,39.064,17.381837399996584,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,5,1,1000,39.179,39.179,39.179,39.179,17.381837399996584,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,1,1,1000,39.107,39.107,39.107,39.107,17.370335600004182,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,2,1,1000,39.124,39.124,39.124,39.124,17.370335600004182,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,3,1,1000,39.1,39.1,39.1,39.1,17.370335600004182,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,4,1,1000,39.08,39.08,39.08,39.08,17.370335600004182,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,5,1,1000,39.073,39.073,39.073,39.073,17.370335600004182,nan
K4,pulse,2400.0,0.2,12.0,0.016666666666666666,40.0,39.473684210526315,1,1,1000,39.58,39.58,39.58,39.58,17.353978899998765,nan
K4,pulse,2400.0,0.2,12.0,0.016666666666666666,40.0,39.473684210526315,2,1,1000,39.613,39.613,39.613,39.613,17.353978899998765,nan
K4,pulse,2400.0,0.2,12.0,0.016666666666666666,40.0,39.473684210526315,3,1,1000,39.586,39.586,39.586,39.586,17.353978899998765,nan
K4,pulse,2400.0,0.2,12.0,0.016666666666666666,40.0,39.473684210526315,4,1,1000,39.617,39.617,39.617,39.617,17.353978899998765,nan
K4,pulse,2400.0,0.2,12.0,0.016666666666666666,40.0,39.473684210526315,5,1,1000,39.578,39.578,39.578,39.578,17.353978899998765,nan
K5,pulse,2800.0,0.2,14.0,0.014285714285714285,40.0,39.548022598870055,1,1,1000,39.524,39.524,39.524,39.524,17.35468370000308,nan
K5,pulse,2800.0,0.2,14.0,0.014285714285714285,40.0,39.548022598870055,2,1,1000,39.543,39.543,39.543,39.543,17.35468370000308,nan
K5,pulse,2800.0,0.2,14.0,0.014285714285714285,40.0,39.548022598870055,3,1,1000,39.551,39.551,39.551,39.551,17.35468370000308,nan
K5,pulse,2800.0,0.2,14.0,0.014285714285714285,40.0,39.548022598870055,4,1,1000,39.552,39.552,39.552,39.552,17.35468370000308,nan
K5,pulse,2800.0,0.2,14.0,0.014285714285714285,40.0,39.548022598870055,5,1,1000,39.54,39.54,39.54,39.54,17.35468370000308,nan
K6,pulse,3200.0,0.2,16.0,0.0125,40.0,39.603960396039604,1,1,1000,39.476,39.476,39.476,39.476,17.34874139999738,nan
K6,pulse,3200.0,0.2,16.0,0.0125,40.0,39.603960396039604,2,1,1000,39.477,39.477,39.477,39.477,17.34874139999738,nan
K6,pulse,3200.0,0.2,16.0,0.0125,40.0,39.603960396039604,3,1,1000,39.461,39.461,39.461,39.461,17.34874139999738,nan
K6,pulse,3200.0,0.2,16.0,0.0125,40.0,39.603960396039604,4,1,1000,39.451,39.451,39.451,39.451,17.34874139999738,nan
K6,pulse,3200.0,0.2,16.0,0.0125,40.0,39.603960396039604,5,1,1000,39.442,39.442,39.442,39.442,17.34874139999738,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,1,1,1000,39.195,39.195,39.195,39.195,17.354533000005176,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,2,1,1000,39.229,39.229,39.229,39.229,17.354533000005176,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,3,1,1000,39.232,39.232,39.232,39.232,17.354533000005176,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,4,1,1000,39.192,39.192,39.192,39.192,17.354533000005176,nan
K7,pulse,3600.0,0.2,18.0,0.011111111111111113,40.00000000000001,39.647577092511014,5,1,1000,39.216,39.216,39.216,39.216,17.354533000005176,nan
