gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,rep,mode,t_ms,dev_nA,rb_nA
A5,pulse,40.0,0.25,10.0,0.025,1.0,1,1,1000,1.111,nan
A5,pulse,40.0,0.25,10.0,0.025,1.0,2,1,1000,1.114,nan
A5,pulse,40.0,0.25,10.0,0.025,1.0,3,1,1000,1.112,nan
D:1,dc,1.0,0.0,0.0,1.0,1.0,1,1,1000,1.002,0.9999229999999999
D:1,dc,1.0,0.0,0.0,1.0,1.0,2,2,10000,1.0,0.9999181
D:1,dc,1.0,0.0,0.0,1.0,1.0,3,2,10000,1.0,0.9999181111111111
A4,pulse,40.0,0.5,10.0,0.05,2.0,1,1,1000,2.122,nan
A4,pulse,40.0,0.5,10.0,0.05,2.0,2,1,1000,2.116,nan
A4,pulse,40.0,0.5,10.0,0.05,2.0,3,1,1000,2.121,nan
D:2,dc,2.0,0.0,0.0,1.0,2.0,1,1,1000,2.0,1.9986199999999998
D:2,dc,2.0,0.0,0.0,1.0,2.0,2,1,1000,1.996,1.9986366666666668
D:2,dc,2.0,0.0,0.0,1.0,2.0,3,1,1000,1.996,1.9987000000000001
A3,pulse,40.0,1.0,10.0,0.1,4.0,1,1,1000,4.105,nan
A3,pulse,40.0,1.0,10.0,0.1,4.0,2,1,1000,4.096,nan
A3,pulse,40.0,1.0,10.0,0.1,4.0,3,1,1000,4.102,nan
D:4,dc,4.0,0.0,0.0,1.0,4.0,1,1,1000,4.0,3.9989450000000004
D:4,dc,4.0,0.0,0.0,1.0,4.0,2,1,1000,3.996,3.9989833333333324
D:4,dc,4.0,0.0,0.0,1.0,4.0,3,1,1000,3.994,3.999023333333334
A2,pulse,40.0,2.5,10.0,0.25,10.0,1,1,1000,10.008,nan
A2,pulse,40.0,2.5,10.0,0.25,10.0,2,1,1000,10.039,nan
A2,pulse,40.0,2.5,10.0,0.25,10.0,3,1,1000,10.04,nan
D:10,dc,10.0,0.0,0.0,1.0,10.0,1,1,1000,9.999,9.998664999999999
D:10,dc,10.0,0.0,0.0,1.0,10.0,2,1,1000,9.994,9.998743333333334
D:10,dc,10.0,0.0,0.0,1.0,10.0,3,1,1000,9.996,9.998693333333334
A1,pulse,40.0,5.0,10.0,0.5,20.0,1,1,1000,19.937,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,2,1,1000,19.933,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,3,1,1000,19.916,nan
D:20,dc,20.0,0.0,0.0,1.0,20.0,1,1,1000,19.998,19.9978
D:20,dc,20.0,0.0,0.0,1.0,20.0,2,1,1000,19.996,19.997775
D:20,dc,20.0,0.0,0.0,1.0,20.0,3,1,1000,19.996,19.997875
